#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6413.90229596527     All      0.13222413199999178        0.03196553925803869        0.1233783293388413         -0.027151713883560857     
Zeropoint     AB|SDSS|SDSS_g            3404.476535833237    All      -1.1268277089915424        0.2099014396250709         0.38581145798396443        0.45263365418906076       
Zeropoint     AB|SDSS|SDSS_i            5394.745159506443    All      1.2154916085068301         0.33957538495386075        -0.11035456249628428       -0.29023934808304896      
Zeropoint     AB|SDSS|SDSS_r            4448.633086705927    All      0.7823759593573723         0.4146322803737945         -0.4302216168390327        -0.1389850294757411       
Check         All|All|All               All                  All      1.0032639908726515         0.9960746442107649         -0.031386392012511255      -0.003742437253290154     
Lambda        AB|SDSS|SDSS_z            6413.90229596527     All      -4.3979345442246063e-05    -1.4122179195168039e-05    -0.00013693415944109817    3.6147186982565398e-06    
Lambda        AB|SDSS|SDSS_g            3404.476535833237    All      -0.0009726228864487742     0.0001694121560924183      3.189582813956655e-05      0.00037342174951019976    
Lambda        AB|SDSS|SDSS_i            5394.745159506443    All      -4.629048797125084e-06     6.917511259689721e-06      -1.41641389698929e-05      3.129014012358136e-06     
Lambda        AB|SDSS|SDSS_r            4448.633086705927    All      -0.0005636218822858367     -0.0003621188960580753     -0.00353178515611685       -9.197119874926615e-05    
MWEBV         All|All|All               All                  All      -0.7655998784760867        -2.569568925705923         0.10050603490245891        -0.5831269447714005       
Redshift      All|All|All               All                  All      3.163124437523056          1.6080793536698224         -4.402338911842385         -0.7029855096989057       
