#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6413.90229596527     All      0.17426739341677944        0.022144544113622544       0.024633330536851916      -0.0484521443060613        
Zeropoint     AB|SDSS|SDSS_g            3404.476535833237    All      -0.845366035023987         0.2073638432882774         -0.10792349989715795      0.3380926250248709         
Zeropoint     AB|SDSS|SDSS_i            5394.745159506443    All      1.3621359443367673         0.323525320727569          0.16320659093269513       -0.3310264888115371        
Zeropoint     AB|SDSS|SDSS_r            4448.633086705927    All      0.3039534162072117         0.4458909841964953         -0.06905566472907088      0.04315209834573317        
Check         All|All|All               All                  All      0.9949907189367716         0.9989246923259643         0.01086075684331822       0.001766090253005649       
Lambda        AB|SDSS|SDSS_z            6413.90229596527     All      -3.8539413459515504e-05    -5.2222822478487215e-06    -1.841733240560305e-05    1.0030604779185398e-05     
Lambda        AB|SDSS|SDSS_g            3404.476535833237    All      -0.0015718893165952022     0.00030001377647198763     -0.0010915347418952437    0.0005610302389014793      
Lambda        AB|SDSS|SDSS_i            5394.745159506443    All      0.00033525699847381153     5.559495288227062e-05      -0.0003869987258252356    -0.0001083651045699017     
Lambda        AB|SDSS|SDSS_r            4448.633086705927    All      -0.00018883251494009436    -0.00013176313970033468    -0.001736975838266217     -5.8923880978082116e-05    
MWEBV         All|All|All               All                  All      -0.6093843599851851        -2.5748943742563313        0.06175175480605988       -0.637475577805445         
Redshift      All|All|All               All                  All      2.1365569254244594         0.5990916451946049         -1.0689033088395232       -0.5485032682543549        
