#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4877.001641652162     All      1.1115778549140756         0.47105002658938133        1.7066473849008483         -0.13248115198478114       
Zeropoint     AB|SDSS|SDSS_z            7031.510897200449     All      0.11680343438366514        0.01405968822947301        0.25675815846553296        -0.022009080926519254      
Zeropoint     AB|SDSS|SDSS_i            5914.216903576969     All      0.9902963283969917         0.09178814109827016        -1.1176415168139133        -0.34254888439811976       
Zeropoint     AB|SDSS|SDSS_g            3732.3009856313943    All      -1.2205429728102357        0.421722842382799          -0.8431550340670008        0.49731386824946444        
Check         All|All|All               All                   All      0.9981346448844967         0.9986206982999235         0.0026089924854671986      0.00027475094004425493     
Lambda        AB|SDSS|SDSS_r            4877.001641652162     All      -0.00023314519757508832    -8.970359128983284e-05     -0.0013994955148274259     -1.5729406920554372e-05    
Lambda        AB|SDSS|SDSS_z            7031.510897200449     All      -5.340876871262962e-05     -6.356390311756372e-06     -0.00011994192724674072    9.974050282758881e-06      
Lambda        AB|SDSS|SDSS_i            5914.216903576969     All      -0.00015226223118918402    -1.1921512045503042e-05    0.00019947764671471283     5.461536050280021e-05      
Lambda        AB|SDSS|SDSS_g            3732.3009856313943    All      -0.001970763749888501      0.0005385305032715479      -0.003251881180178325      0.0006722431698617651      
MWEBV         All|All|All               All                   All      -0.5594299771807583        -2.9695509789396723        0.14140489250678448        -0.7787454499952718        
Redshift      All|All|All               All                   All      5.061007050566437          -0.09089356352358635       9.279569002847296          -1.264038977426692         
