#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5197.523581201648     All      0.17344962491874694        0.22430488588298658        -7.073357213649967        -0.2990862141061257        
Zeropoint     AB|SDSS|SDSS_u            3024.9051638012947    All      0.0047574537280827         0.02111168595533286        0.5550758713732229        0.030097598242795343       
Zeropoint     AB|SDSS|SDSS_g            3977.591932568983     All      -0.7272969948271452        0.6414372808322355         2.490818229748548         0.5569955612817368         
Zeropoint     AB|SDSS|SDSS_z            7493.6295668940975    All      0.12754734501089188        0.00212786296920342        0.34938209086674554       -0.025261933417897176      
Zeropoint     AB|SDSS|SDSS_i            6302.905776810292     All      1.43533406965269           0.11292051546263338        3.811255763800281         -0.26067476043954985       
Check         All|All|All               All                   All      1.013791498483266          1.0019022311023917         0.13317474213883074       0.002070251560959413       
Lambda        AB|SDSS|SDSS_r            5197.523581201648     All      -0.0003957044662403943     5.211122655714639e-05      -0.004559798062430937     -5.7614541288435746e-05    
Lambda        AB|SDSS|SDSS_u            3024.9051638012947    All      -5.119901361481042e-05     -1.3813599706117395e-05    -0.0005731679174057766    -1.340019243514605e-05     
Lambda        AB|SDSS|SDSS_g            3977.591932568983     All      -0.0002902866065648572     0.0007145478831644038      0.005072651244410321      0.0005536767785711645      
Lambda        AB|SDSS|SDSS_z            7493.6295668940975    All      -0.00011386963289594402    -1.8214940341380617e-05    -0.0010552072428486646    -1.593117254583181e-05     
Lambda        AB|SDSS|SDSS_i            6302.905776810292     All      6.738782501619715e-05      2.590225112259923e-05      0.0030503477584112306     0.00012260979446538788     
MWEBV         All|All|All               All                   All      -0.6399640297034628        -3.3087883253561046        -0.9358013259609166       -0.9110843900030252        
Redshift      All|All|All               All                   All      7.827957463952977          -0.8313535904498792        30.080304517580103        -1.478276656512828         
