#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5197.523581201648     All      0.4397856920707177         0.28700676536033143       -4.398795196435181         -0.24606314938827561      
Zeropoint     AB|SDSS|SDSS_u            3024.9051638012947    All      -0.07168248188154969       0.025922851057202934      0.1943268073170741         0.040465180958042926      
Zeropoint     AB|SDSS|SDSS_g            3977.591932568983     All      -0.7052498664677908        0.5812356877552105        1.1267088873301614         0.4693305119828122        
Zeropoint     AB|SDSS|SDSS_z            7493.6295668940975    All      0.07723137570038315        0.0052940415290692044     0.18720576589173568        -0.015078222880829365     
Zeropoint     AB|SDSS|SDSS_i            6302.905776810292     All      1.2658661811389624         0.10138781365682803       3.002630252060617          -0.24531531692176864      
Check         All|All|All               All                   All      1.0059509005607226         1.000847159358642         0.11207651616440728        0.0033390037499815284     
Lambda        AB|SDSS|SDSS_r            5197.523581201648     All      6.076293263408992e-05      4.083680674470519e-05     -0.0005520039795567791     -3.112399709728452e-05    
Lambda        AB|SDSS|SDSS_u            3024.9051638012947    All      -7.213302280811208e-05     2.7462611374434035e-05    0.0002387775725333742      4.3097121048735635e-05    
Lambda        AB|SDSS|SDSS_g            3977.591932568983     All      -0.000515758909416904      0.0003563636247465417     -0.0004848264572863845     0.000262443423294857      
Lambda        AB|SDSS|SDSS_z            7493.6295668940975    All      -1.3624195365688835e-05    -7.020295622346969e-07    -3.8364357638118075e-05    2.497149448544613e-06     
Lambda        AB|SDSS|SDSS_i            6302.905776810292     All      -0.00026467266142253467    -3.41716722440971e-05     -0.0006420866968605561     4.6428375149362025e-05    
MWEBV         All|All|All               All                   All      -0.7331390811013683        -3.2257338645546696       0.3711155597450738         -0.7953589419440475       
Redshift      All|All|All               All                   All      4.144489679925183          -0.2043666134699862       -1.241047372581074         -1.4719478121950411       
