#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7425.220888392676    All      0.6165714067568469         -0.1321155425811682       0.7350711481760597         -0.21106912118498203      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5246.354669624754    All      0.2799372788693426         0.39194110523839143       -0.04511369485015999       0.0344701140633801        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3509.754595807464    All      -0.11740955238467665       0.0769402353352433        0.006010415484289392       0.06357433701669955       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6073.039648593415    All      1.1562095385420905         -0.1117455412619428       -0.8402804891018918        -0.45051254293517673      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4691.586978595162    All      -0.42026559243839334       0.4308016037796847        -0.12792114484377629       0.27151205191351163       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4294.727048772679    All      -0.517314431666706         0.3426799588146068        0.28340900227472726        0.2927757080758796        
Check         All|All|All                              All                  All      0.9977286476785039         0.9985018193248152        0.011175237139248229       0.0007505469493121475     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7425.220888392676    All      0.00012111801595895707     -0.0001023920123679708    5.156254999329969e-06      -7.25744695088012e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5246.354669624754    All      0.00013777004164687397     0.000496823926886115      -0.0012599752671400965     6.072875362900582e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3509.754595807464    All      -0.00038339388021704725    0.00025191034640815275    -3.319551398612042e-06     0.00020679135116729322    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6073.039648593415    All      0.0001253995588921794      -6.678888025134698e-05    -0.00032668112716452186    -7.718037575409313e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4691.586978595162    All      -0.0003591650935751378     0.00036535241036964744    -0.00016765385234928547    0.0002285175655286427     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4294.727048772679    All      -0.000538615401452086      0.00035899362603441197    0.0002816018418851989      0.00030494738756507174    
MWEBV         All|All|All                              All                  All      -0.8720415038538403        -3.959366628774763        0.1416425998609785         -0.9993225044755598       
Redshift      All|All|All                              All                  All      7.4735982476854055         -3.975778421675713        6.289844593560639          -3.4487517785157364       
