#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7425.220888392676    All      0.7775249360362538         -0.02077406140976734       0.4299282740456656         -0.2408465224435717       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5246.354669624754    All      0.4047966887238484         0.39236249998024775        -0.10811201778748725       -0.00887476715976756      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3509.754595807464    All      -0.14668176750868325       0.09864894698852211        0.07138642410668972        0.08309793309440451       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6073.039648593415    All      1.096025379971705          -0.1720987719697753        -0.5959096917586226        -0.43966246896169764      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4691.586978595162    All      -0.30554651322261234       0.44585408810093874        -0.02099906212139624       0.24381880449932244       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4294.727048772679    All      -0.8061096906024965        0.2787205630585987         0.11854920896227084        0.35865521019183266       
Check         All|All|All                              All                  All      1.0200090333980152         1.0227132647487647         -0.10515686455287998       -0.0038118107794772316    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7425.220888392676    All      7.841947670925674e-05      -0.00012940304632523683    -0.00021795018430814658    -7.742074862694125e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5246.354669624754    All      0.0006209658615366118      0.0004341797522462192      -0.00016786248803881535    -6.83333127530001e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3509.754595807464    All      1.0105774797913977e-05     0.0002438032507248003      0.000629498432243823       0.0001042145801772932     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6073.039648593415    All      0.000273994652420397       -3.207192427180429e-05     0.00019554168318130952     -9.096982609002018e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4691.586978595162    All      -0.00028216399159706194    0.0003402788766815042      -0.00010367314506041478    0.0001981236636499314     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4294.727048772679    All      -0.0009411509759918758     0.0003713107047346444      -8.137908480664683e-05     0.00042388037332508456    
MWEBV         All|All|All                              All                  All      -0.8679557126730058        -3.940110207963965         0.04160701956295032        -0.9988450598080897       
Redshift      All|All|All                              All                  All      4.933585062496624          -3.5582898979988897        -0.4720990962607363        -2.7871506634147347       
