#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3571.3652060843087    All      -0.026268948636714737     0.08142759427247626        0.03279891582614494        0.03654397210989344        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5293.298786972726     All      0.6176107599319041        0.8848009831478265         4.182239318715263          0.2736667784625126         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8100.873918105501     All      0.07721287668929389       0.08579168069591248        -0.29749320061806345       -0.010481356507510134      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_U      3544.286341715912     All      -0.18555537667756067      0.29870662245539137        0.9106137899914709         0.1983765760136103         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6425.942792192824     All      0.026579834458687335      0.03370280024572736        -3.0288042379352156        -0.13284143804888748       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_B      4258.87745667356      All      -0.5117911075989261       -0.05037483922913921       -0.07992900694413844       0.14673159427310747        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5293.413561670887     All      -0.08942501947757736      -0.06589999412147662       -1.92164651724469          -0.0780913835525804        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6444.084212936142     All      1.119874817611348         -0.3903710795808202        2.267812308502268          -0.3907347266864357        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4297.645130068984     All      -0.25646754094239177      0.07457044722922745        -2.6771512168950107        -0.011638999525406283      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8112.889310757909     All      0.23561455605608905       0.051612560994662715       0.6915520044283989         -0.029074713503171243      
Check         All|All|All                                     All                   All      1.007384851414152         1.0039667761097881         0.07999215782642755        0.0024563030351325427      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3571.3652060843087    All      -7.570722797252581e-05    0.00022366946116308124     5.1174269903713794e-05     9.980050948287161e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5293.298786972726     All      0.0001739976381294359     0.00026163061299608033     0.0010420096892471379      7.504504960700402e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8100.873918105501     All      2.640372225023392e-06     2.8831581364895003e-06     -1.1594112788445441e-05    -4.383086451305919e-07     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_U      3544.286341715912     All      -0.0005158149426416365    0.0007814573988917266      0.0022568014100001316      0.0005232749624440981      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6425.942792192824     All      -2.418418295392528e-06    -2.8995072837407652e-06    0.0002765233143308616      1.2183258982078115e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_B      4258.87745667356      All      -0.0003499432061744871    -0.00013492444155447695    -0.0007150575502857501     3.8128951215264634e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5293.413561670887     All      -8.263254504797029e-05    -6.043285623528e-05        -0.0017913180260074118     -7.270712728023622e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6444.084212936142     All      -0.0003367392580383943    0.0002570331387515446      -0.0005576136208648001     0.00016852746929363563     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4297.645130068984     All      -0.0002815736496919695    7.880432733746621e-05      -0.0029652265551338326     -1.4937479160879256e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8112.889310757909     All      -6.067952633833017e-06    1.423044305778123e-05      -4.411529828869748e-06     6.414988959302636e-06      
MWEBV         All|All|All                                     All                   All      -0.9402944483563291       -3.7627752946887583        0.5748945417830477         -0.8937199655075414        
Redshift      All|All|All                                     All                   All      8.579317524493888         -4.121447875603668         5.409750976362281          -3.8956447935947636        
