#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3571.3652060843087    All      -0.03981735058056218       0.06946257578555048        -0.13300042060825912      0.029660869297322857      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5293.298786972726     All      0.6466578079342195         0.6197986922042986         5.242775290652607         0.22521208439396945       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8100.873918105501     All      0.07752169362461034        0.02082711417248362        -0.483147228357067        -0.04002793151043808      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_U      3544.286341715912     All      -0.16947282047631634       0.24474550906123937        1.0168251047814658        0.18030077162625946       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6425.942792192824     All      -0.003780005316403101      -0.06558228290467483       -3.5362268040789346       -0.17793659600882275      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_B      4258.87745667356      All      -0.41686110426794926       0.06283679699885525        1.430010936350784         0.2200682083214534        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5293.413561670887     All      -0.11060833151951249       -0.046228819319615866      -2.2929775929462215       -0.08135453356147744      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6444.084212936142     All      1.1036147740264206         -0.04196925366279913       2.500027625343931         -0.26158965570589615      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4297.645130068984     All      -0.34873639987016253       0.09042935836882648        -4.3608453063705195       -0.05155376180253166      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8112.889310757909     All      0.23195244629634654        0.050007762117676435       0.5520295383287632        -0.034630826523657836     
Check         All|All|All                                     All                   All      0.9704707098506913         1.0043274528218404         -0.06452885690345078      0.008148628526181229      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3571.3652060843087    All      -9.210803822020351e-05     0.00016152331062014837     -0.0003107808906499587    6.874735075612624e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5293.298786972726     All      0.00018629700568505408     0.0001755811535076522      0.0012362428474699838     5.1677334829311365e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8100.873918105501     All      5.351487364866646e-06      3.7201449637730064e-06     8.180840982749005e-05     3.1193517085578172e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_U      3544.286341715912     All      -0.0005641703098386413     0.0005954144727863239      0.0013667855885853015     0.00043870827630656406    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6425.942792192824     All      -9.828519137697709e-06     4.599560968582619e-06      0.00013585760307756998    1.0762401214302092e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_B      4258.87745667356      All      -0.00038211210295306913    -3.365697011977659e-05     -0.000685271865009253     8.292276460163678e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5293.413561670887     All      -0.00010525711618909414    -4.4740208814225014e-05    -0.002147319716669722     -7.611266899312143e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6444.084212936142     All      -0.0003339159357460395     0.00011381024792198628     -0.0007211619420296704    0.00011365700247881464    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4297.645130068984     All      -0.0004237666667208546     0.00010815038068819263     -0.005474522741150024     -7.10399244718261e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8112.889310757909     All      -6.706675659375972e-06     7.412216420192462e-06      -2.880146071106164e-06    4.47045995694687e-06      
MWEBV         All|All|All                                     All                   All      -0.946929122737473         -3.7952864071314707        0.7208826281204506        -0.8956339948995101       
Redshift      All|All|All                                     All                   All      9.368541748968061          -2.343320871936605         18.43730430322844         -2.9921667528867655       
