#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5863.783113809019     All      0.5686123034740446         0.04190158357797458        0.13572868362882012        -0.1655100619670755       
Zeropoint     AB|SDSS|SDSS_g                           4453.337627490489     All      -0.3410926409137255        0.19042217464591005        -0.6940297753618252        0.14216050043487474       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4146.745189263637     All      -0.29539069285841485       0.231622168661616          0.20334259911140853        0.18073967348478626       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4529.93065975196      All      -0.2208813373233171        0.23873114760899483        0.12827249451178496        0.15543511943987834       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5065.582920724699     All      0.1772996803703726         0.28489043648667334        0.4656819710572302         0.0558270964661698        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7169.372732770369     All      0.2965864458541203         -0.017602084673828955      0.2288187328518673         -0.09213041176783175      
Zeropoint     AB|SDSS|SDSS_i                           7056.774031685978     All      0.34168552332812097        -0.020914347518541376      0.19975582633833644        -0.10919652203202289      
Zeropoint     AB|SDSS|SDSS_z                           8389.916080499284     All      0.10877364875905916        -0.013456537259592949      0.02610635099978649        -0.038649386296964613     
Zeropoint     AB|SDSS|SDSS_u                           3386.7033657336997    All      -0.11733683588793609       0.06222697365769747        0.05469313685792813        0.060930543744354956      
Zeropoint     AB|SDSS|SDSS_r                           5819.1809834512205    All      0.47723548202439725        -0.0006186775294736435     -0.7452685968814375        -0.18891073528554655      
Check         All|All|All                              All                   All      0.9954915768267216         0.9972028376574293         0.003101423113899382       0.0006958162206227858     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5863.783113809019     All      -8.116577818294716e-05     -4.4923728997452725e-06    -5.62196236041854e-05      2.2466226986784527e-05    
Lambda        AB|SDSS|SDSS_g                           4453.337627490489     All      -0.00019814740401757365    -3.186406437639026e-06     -0.001046470100460842      1.6806056617849933e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4146.745189263637     All      -0.0001729535708086866     9.812548230762044e-05      -0.00010712943562130831    8.35186711518527e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4529.93065975196      All      -6.35322294780725e-05      9.767794917737334e-06      -0.00028675939694787576    1.1079474597378128e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5065.582920724699     All      -1.4910718371047528e-06    1.5843511684714047e-05     -0.0003245995412931847     -8.83894255223046e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7169.372732770369     All      -0.00015989662389272915    1.1715716943008312e-05     -0.00012868438304120713    5.015719229937853e-05     
Lambda        AB|SDSS|SDSS_i                           7056.774031685978     All      -0.000184930392701166      2.5593012645947875e-06     -0.0002421561342916644     5.0265245461825013e-05    
Lambda        AB|SDSS|SDSS_z                           8389.916080499284     All      2.3651219331500297e-06     2.902316228569269e-07      2.0250206140094423e-05     2.278136582735613e-07     
Lambda        AB|SDSS|SDSS_u                           3386.7033657336997    All      -6.501365931638469e-05     3.430504608863538e-05      4.353342060864107e-05      3.429406645876348e-05     
Lambda        AB|SDSS|SDSS_r                           5819.1809834512205    All      -0.00011853599885003173    6.539708372160839e-06      0.00014649812387057166     4.727881113760941e-05     
MWEBV         All|All|All                              All                   All      -0.8461080171210678        -3.7611916755079022        0.11620230748812146        -0.9443530756550365       
Redshift      All|All|All                              All                   All      6.155370978407787          0.5470395482889856         3.5716586640488392         -1.6674313332716972       
