#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5863.783113809019     All      0.6082430790558107         0.02857094078341227        0.0696513355265771         -0.18571006687467667      
Zeropoint     AB|SDSS|SDSS_g                           4453.337627490489     All      -0.26769850226899733       0.16037550148837454        -0.547147210870047         0.11502111917530145       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4146.745189263637     All      -0.3372823227334752        0.2595848541850021         0.16513862516541744        0.2017886542560715        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4529.93065975196      All      -0.2651474787183229        0.3095238147802881         0.2110733058641845         0.1966085786325747        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5065.582920724699     All      0.16390536258092922        0.27564396898398513        0.3009290777906126         0.049826022820967375      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7169.372732770369     All      0.407566957171093          -0.03561103623495043       0.31510924204739554        -0.13029577434708478      
Zeropoint     AB|SDSS|SDSS_i                           7056.774031685978     All      0.2751656478803386         -0.022411766247554255      0.20685227002626982        -0.08769988701442799      
Zeropoint     AB|SDSS|SDSS_z                           8389.916080499284     All      0.08686113717366722        -0.013316739295232694      0.057462298349297836       -0.03006695165962414      
Zeropoint     AB|SDSS|SDSS_u                           3386.7033657336997    All      -0.0515978271843189        0.016886230785129186       -0.016286798295750415      0.02158070573385351       
Zeropoint     AB|SDSS|SDSS_r                           5819.1809834512205    All      0.2545973242153151         -0.004912254726452403      -0.6959153896747616        -0.11558631509029638      
Check         All|All|All                              All                   All      0.8746133771720396         0.9743335145020016         0.06686675592919578        0.03546608563265857       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5863.783113809019     All      8.470231612475927e-05      1.3719218701744342e-05     3.8313207058736677e-05     -2.141178764038046e-05    
Lambda        AB|SDSS|SDSS_g                           4453.337627490489     All      -0.00020931454454818966    4.9526043664107594e-05     -0.0007698655694902944     4.995733068147456e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4146.745189263637     All      -0.00041628862805041675    0.00029809328446051854     9.967197695662836e-05      0.00023714559392638222    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4529.93065975196      All      -0.00015444675103895204    0.00013575910838254548     -3.0169979239528137e-05    9.318324829501048e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5065.582920724699     All      -0.00013623741729133944    0.00012948298315498672     -0.00018535684368604664    7.82822517463641e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7169.372732770369     All      -0.0001760312266715053     6.777684038516355e-06      -0.00011133845823209391    5.457835242092013e-05     
Lambda        AB|SDSS|SDSS_i                           7056.774031685978     All      -0.00018099373349883622    1.8109573107229111e-06     -0.00011578321035908093    5.4378628987089586e-05    
Lambda        AB|SDSS|SDSS_z                           8389.916080499284     All      -2.9617672058165173e-05    -1.5298892352743673e-06    1.8946354851667428e-06     9.233663805980016e-06     
Lambda        AB|SDSS|SDSS_u                           3386.7033657336997    All      -9.194632423471788e-05     2.1612187398668224e-05     4.872346753530353e-05      3.91640477803657e-05      
Lambda        AB|SDSS|SDSS_r                           5819.1809834512205    All      -8.471584199746671e-06     -4.096317357803654e-06     0.00019812632498541967     1.0266636275226552e-05    
MWEBV         All|All|All                              All                   All      -0.7938044480484638        -3.8151367520420365        0.08601584385163896        -0.9803088382364489       
Redshift      All|All|All                              All                   All      5.309264863729206          -1.8713498984679333        2.5213943724496257         -2.2264442127594597       
