#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5111.597915801734     All      1.4411389701244295        0.43995539864329913        -0.0051767327205909375     -0.32634944099799723       
Zeropoint     AB|MEGACAMPSF|z           5894.760213101435     All      0.888381842222641         0.0030526012961828997      0.9125817854715002         -0.2476565264875774        
Zeropoint     AB|MEGACAMPSF|r           4178.945381807236     All      -1.105793224849044        0.47346725051902183        -1.1830566951306576        0.4616227062329531         
Zeropoint     AB|MEGACAMPSF|g           3266.3053123236714    All      -0.23515293969034431      0.07470587858531275        0.44964711438604255        0.12099689672525893        
Check         All|All|All               All                   All      0.9885746478076822        0.9911811290438166         0.17399547200629417        0.008613635472637382       
Lambda        AB|MEGACAMPSF|i           5111.597915801734     All      0.0004301779076844159     -3.0129380903506943e-05    -0.0006738769979505083     -0.00018000926296649595    
Lambda        AB|MEGACAMPSF|z           5894.760213101435     All      -0.0002519379484914006    -7.07349682055492e-06      -0.00036326585113625776    6.354952119386917e-05      
Lambda        AB|MEGACAMPSF|r           4178.945381807236     All      -0.0005366205024269232    5.7687521806380086e-05     -0.0014868379629125281     0.00012723492616100552     
Lambda        AB|MEGACAMPSF|g           3266.3053123236714    All      -0.0003875956182623468    0.000161787050754936       0.001377177617742898       0.00024040912138373284     
MWEBV         All|All|All               All                   All      -0.35737147442035466      -2.3171950144096343        0.16132861846951396        -0.6311796479670867        
Redshift      All|All|All               All                   All      7.003587369603377         0.379095016642772          4.109843789705736          -1.9744116461794525        
