#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3924.9956756093934    All      -0.972935663999756        0.5288249639214371        -0.34061218122096726       0.4739728856983455         
Zeropoint     AB|SDSS|SDSS_r            5128.795996656833     All      0.7423992254938131        0.42673304203990625       -0.019436914270309913      -0.10369024127327015       
Zeropoint     AB|SDSS|SDSS_z            7394.540250307068     All      0.2042847168297946        0.006097532202176126      0.20536221430527135        -0.05539171376801183       
Zeropoint     AB|SDSS|SDSS_i            6219.561568191313     All      1.0243032541452792        0.03638079597596544       0.15326275547611345        -0.31495943344269917       
Check         All|All|All               All                   All      0.998051532469131         0.9980363341394849        -0.0014241257098923654     -6.850278563563794e-05     
Lambda        AB|SDSS|SDSS_g            3924.9956756093934    All      -0.0008797159583338305    0.00044685189661086716    -0.0007610908690167572     0.0003981428032213036      
Lambda        AB|SDSS|SDSS_r            5128.795996656833     All      5.988961088310339e-05     7.436347138203514e-05     -0.0010309690618233694     -4.129280161917586e-05     
Lambda        AB|SDSS|SDSS_z            7394.540250307068     All      -2.607065703060755e-05    1.0972246001465718e-06    -3.7954492519187243e-06    8.680099375648618e-06      
Lambda        AB|SDSS|SDSS_i            6219.561568191313     All      9.653901783105912e-05     1.2371774727218968e-05    0.0002975924619596891      -1.4135855314450402e-05    
MWEBV         All|All|All               All                   All      -0.574273992888144        -3.2079447407774353       0.0512552415901979         -0.8555859217561675        
Redshift      All|All|All               All                   All      5.039491217853952         0.7123473899229182        0.7926340918976482         -1.374121484475914         
