#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3924.9956756093934    All      -0.9931578332257504        0.5602994383005822         -0.053934703658614136      0.5036052824511734        
Zeropoint     AB|SDSS|SDSS_r            5128.795996656833     All      0.6902722757711329         0.42916370717165364        -0.173868849105692         -0.09281061919444922      
Zeropoint     AB|SDSS|SDSS_z            7394.540250307068     All      0.17815808263624536        0.0011092727220329834      0.16827158920193694        -0.050161433939266135     
Zeropoint     AB|SDSS|SDSS_i            6219.561568191313     All      1.1226080845005528         0.008037597536159069       0.061180245367133894       -0.3603220825241356       
Check         All|All|All               All                   All      0.9978806096821807         0.9986100157304278         0.0016482818047646938      0.00031114679332244766    
Lambda        AB|SDSS|SDSS_g            3924.9956756093934    All      -0.0010107608854684784     0.00042286546102722716     -0.0012406471162200205     0.00041161488324871747    
Lambda        AB|SDSS|SDSS_r            5128.795996656833     All      9.66455412474094e-05       4.519157525814793e-05      -0.0011067451071927032     -6.614920054549245e-05    
Lambda        AB|SDSS|SDSS_z            7394.540250307068     All      -2.9693268777188665e-05    1.3357707212112688e-07     -2.4089705660470537e-05    8.640572043591312e-06     
Lambda        AB|SDSS|SDSS_i            6219.561568191313     All      -0.00019996436965354173    -1.9859370201810888e-05    -0.0002765861189934654     4.632335542333097e-05     
MWEBV         All|All|All               All                   All      -0.5618343640787651        -3.208114696139397         0.09646889413594852        -0.8576756005094485       
Redshift      All|All|All               All                   All      4.981819149856197          0.43525829047457165        -1.1006985846756696        -1.5300835718183037       
