#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          4590.423827286751     All      0.34093491483907357        0.49031526299039285        1.2307070717384565         0.10357889803892113        
Zeropoint     AB|DECam|DECam_z          6535.179546211596     All      0.7957942137021342         0.05506729841258107        1.20256701713485           -0.1876140827172895        
Zeropoint     AB|DECam|DECam_g          3453.8504467070084    All      -0.668644177418767         0.24220993036614402        -0.19926135194974268       0.2878030301523767         
Zeropoint     AB|DECam|DECam_i          5576.791595205218     All      0.526567869433816          0.21025527123086363        -2.2251413726752345        -0.2023312593679021        
Check         All|All|All               All                   All      0.9946528205562566         0.9978477629999816         0.00887136424832935        0.0014365861061062246      
Lambda        AB|DECam|DECam_r          4590.423827286751     All      -0.0003238438337402861     -0.00019752226085285388    -0.0022625031568408466     -5.981803244291982e-05     
Lambda        AB|DECam|DECam_z          6535.179546211596     All      -0.00021820556967660774    -1.741603304074034e-05     -0.0005405941195800497     4.127952516397414e-05      
Lambda        AB|DECam|DECam_g          3453.8504467070084    All      -0.0009781590434070745     0.000318944130084475       -0.00012113712578341328    0.00041710338347205933     
Lambda        AB|DECam|DECam_i          5576.791595205218     All      -5.122934943297139e-05     -9.793048525416333e-06     -0.0009104074736362321     -2.7130137778699924e-05    
MWEBV         All|All|All               All                   All      -0.5463467095797259        -2.537699906810076         -0.14207301349431134       -0.654989315986668         
Redshift      All|All|All               All                   All      5.781069813019691          0.14124745112660264        0.7547891246937255         -1.8033929158990387        
