#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          4590.423827286751     All      0.029897128930226113       0.5968716467698698        1.5078056787354104         0.25196869570892344       
Zeropoint     AB|DECam|DECam_z          6535.179546211596     All      0.9608356155247646         0.016840855269606436      1.039271513134396          -0.261112235490471        
Zeropoint     AB|DECam|DECam_g          3453.8504467070084    All      -0.4710584319357666        0.20529134994298204       -0.041248404026134056      0.2184686483801851        
Zeropoint     AB|DECam|DECam_i          5576.791595205218     All      0.4712140755313451         0.18085886372674054       -2.5030066300043634        -0.20627593489094542      
Check         All|All|All               All                   All      0.9908883880505693         0.9998627157091988        0.0028221578393088365      0.0030491737076920877     
Lambda        AB|DECam|DECam_r          4590.423827286751     All      -0.00026336766988128453    -8.697097117729634e-05    -0.001777004169457175      -2.184132655102437e-05    
Lambda        AB|DECam|DECam_z          6535.179546211596     All      -0.000174895969336236      3.646202627672807e-06     -0.00016078746831051045    5.098185303106478e-05     
Lambda        AB|DECam|DECam_g          3453.8504467070084    All      -0.0010129867054950047     0.0004718232133880735     -6.552529018592976e-05     0.00048072734662137       
Lambda        AB|DECam|DECam_i          5576.791595205218     All      2.2790535103086858e-05     1.711096423891216e-06     -0.001433079839936389      -7.081803802947262e-05    
MWEBV         All|All|All               All                   All      -0.46929279156489123       -2.557373593739243        -0.09635724178323896       -0.6844565942340897       
Redshift      All|All|All               All                   All      5.5638213947669115         -0.8850545539591081       1.0286721864493447         -2.0547061430561757       
