#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          4104.854755603501    All      -0.8209094215806908        0.733612512185644         0.15774384869660651       0.5133983195562769        
Zeropoint     AB|DECam|DECam_r          5455.656916366796    All      0.40998699398911           0.32137978665378597       -0.607023990964578        -0.05595097527604925      
Zeropoint     AB|DECam|DECam_i          6627.941728749005    All      0.9766181385643655         -0.02484692249868914      0.21015783802237897       -0.3168317385192146       
Zeropoint     AB|DECam|DECam_z          7766.972905432536    All      0.43067011432591396        -0.03110270914614688      0.24054722060384282       -0.13968008281737276      
Check         All|All|All               All                  All      0.9963658252986987         0.999042667194594         0.001424916358250261      0.000935522943640299      
Lambda        AB|DECam|DECam_g          4104.854755603501    All      -0.0006514910665412035     0.0003612619858546105     -0.0007408154997492057    0.0002968277944397957     
Lambda        AB|DECam|DECam_r          5455.656916366796    All      7.31618447128901e-05       -9.629155935079487e-06    -0.0006904472898655626    -5.777924409105918e-05    
Lambda        AB|DECam|DECam_i          6627.941728749005    All      -0.0004587291589318125     -4.317388851295421e-05    -0.0007020624222278756    0.0001040302014897848     
Lambda        AB|DECam|DECam_z          7766.972905432536    All      -0.00011619418658295841    3.300452959158497e-05     0.0001269938731811872     5.4266083648327704e-05    
MWEBV         All|All|All               All                  All      -0.5215273721556457        -3.3259112756672593       0.0610126827238322        -0.9107573830548693       
Redshift      All|All|All               All                  All      7.149768724322627          -0.11232306053070573      4.154262598789954         -2.180116550103944        
