#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5007.630400775747    All      1.6730552519176134         0.7770023324759734        5.943078975193304         -0.0266615960391392       
Zeropoint     AB|PS|PS_r                4134.380669074526    All      -1.4122727499285348        0.43609999187204096       -1.4279365493254814       0.538353561740386         
Zeropoint     AB|PS|PS_z                5754.989226487453    All      0.9611072144773855         -0.24541735533141207      -4.059053523460862        -0.5741416620595882       
Zeropoint     AB|PS|PS_g                3255.59187237282     All      -0.2440030780215063        0.03262123704779185       -0.506007285925915        0.0675248589242501        
Check         All|All|All               All                  All      0.9778866384449577         1.0003062060643941        -0.049918383518954945     0.005075162565908689      
Lambda        AB|PS|PS_i                5007.630400775747    All      -0.00017370232468784703    -7.058881515262977e-05    -0.0009337120733061741    -8.079819057892055e-06    
Lambda        AB|PS|PS_r                4134.380669074526    All      -0.0009162873578605921     0.0002683824974825235     -0.0011006525527857026    0.0003367688780493402     
Lambda        AB|PS|PS_z                5754.989226487453    All      -9.203906347529894e-05     6.606979019913024e-05     0.001610320138281579      0.00012336244710716793    
Lambda        AB|PS|PS_g                3255.59187237282     All      -0.0006673783671229527     8.438922784686653e-05     -0.0014674682151773505    0.00017938907149528413    
MWEBV         All|All|All               All                  All      -0.26658438988234856       -2.3378901385937567       -0.0391336145352306       -0.6764387797728778       
Redshift      All|All|All               All                  All      10.079099484964754         1.0858863625152537        12.722366237959553        -2.3616446084198834       
