#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7187.196390050268    All      1.4921922139518307         -0.25203123688015694      8.548223141870157         -0.1866830229302202        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5899.254373198349    All      0.206344993719781          0.10816316343067456       -11.05135714182648        -0.5251523644036921        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5119.483958275125    All      -0.11173509440400409       0.6371692481913271        -0.6175391379084649       0.21638484713416015        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4139.652710494667    All      -0.5850639881346369        0.4997137812138064        3.2670736646444376        0.4991423001318343         
Check         All|All|All                                All                  All      1.0017381251329707         0.9930149559556511        0.14640052677964865       0.003691759932082206       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7187.196390050268    All      -0.0008794528812370917     0.00016085247732732       -0.004894370994124206     0.00012044838187928194     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5899.254373198349    All      -5.670912716910939e-05     2.3499730348039838e-05    0.0013059302841713384     8.440433434808555e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5119.483958275125    All      -0.00010943552765606217    3.471872695628438e-05     -0.0011803225096963916    -5.7165893211918955e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4139.652710494667    All      -0.0003541488816379114     0.00023209816646273465    0.001066865170498907      0.0002385692431462529      
MWEBV         All|All|All                                All                  All      -0.6971212363963772        -3.8123474193454854       0.9650399755335879        -0.9716663538439761        
Redshift      All|All|All                                All                  All      10.150770282215504         -0.8518464153761229       33.73740026415984         -2.078369010228576         
