#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7187.196390050268    All      1.216921808424416          -0.18189969219033486       6.311724526643103        -0.1739789056888097       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5899.254373198349    All      0.48869003932992605        0.07927262473170771        -7.93438827912214        -0.48743602893744353      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5119.483958275125    All      0.038850235592376936       0.5563561676838802         -0.4178144485466939      0.14992356763537662       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4139.652710494667    All      -0.7531020353729703        0.5384272394740819         2.1159747464611245       0.5151198094828099        
Check         All|All|All                                All                  All      0.9913600479737487         0.9921563396993349         0.07549654543539397      0.0036284424919332814     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7187.196390050268    All      -0.0007537902072931103     0.00012816991937865383     -0.003818062820026754    0.00011690082095377808    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5899.254373198349    All      -0.00010833400797652994    -1.8502227558474516e-07    0.0018827695222668462    0.00011924703916987073    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5119.483958275125    All      -7.226185944742227e-05     -5.0345963475559565e-06    -0.000641402778497071    -6.724728845026844e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4139.652710494667    All      -0.00030520795434939166    0.00015544332988028255     8.401693340386378e-05    0.00015379856811270474    
MWEBV         All|All|All                                All                  All      -0.7369226240350133        -3.797572529947324         0.7293552410064796       -0.9644065921480205       
Redshift      All|All|All                                All                  All      8.625485431074654          -0.07603991072206995       15.351350061801815       -2.1493128284462135       
