#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4327.493193355833    All      -0.8343149465381503       0.2288078688933659         -0.9384189756056813       0.30441674780897           
Zeropoint     AB|CNIa02|SDSS_i                      7402.578168214114    All      0.9242949016814441        -0.04963330571872149       0.7560645434364852        -0.2835007703418134        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.921658449745    All      0.1324496403802602        0.015214824974485452       -1.0894855359511555       -0.08680597193194889       
Zeropoint     AB|CNIa02|SDSS_g                      4671.565186716256    All      -0.14348117310962394      0.8916767253078106         1.5667156787792458        0.4071003082769352         
Zeropoint     AB|CNIa02|SDSS_r                      6104.339165681201    All      0.9210599099046701        -0.08710127624418362       -0.2808304734238778       -0.34092344006772807       
Check         All|All|All                           All                  All      1.0000083323186006        0.9989648372127569         0.014045237235016383      0.0002868737444148284      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4327.493193355833    All      -0.0010180691731827907    6.017836037674401e-06      -0.0020644520522092964    0.00024145181696019267     
Lambda        AB|CNIa02|SDSS_i                      7402.578168214114    All      0.0003881562306059323     -1.9010793847113993e-05    0.00033167816471435773    -0.00011782642211308774    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.921658449745    All      9.632387501707019e-05     7.819411549513306e-06      -0.0008378941194405239    -6.622018170387905e-05     
Lambda        AB|CNIa02|SDSS_g                      4671.565186716256    All      -0.0008162107897478803    -9.397618815696398e-05     -0.0014793150515690083    0.00016924053404754468     
Lambda        AB|CNIa02|SDSS_r                      6104.339165681201    All      3.232360407796302e-05     -1.0142722905157021e-05    -8.063780861575424e-05    -1.74311748415239e-05      
MWEBV         All|All|All                           All                  All      -0.7816331397622553       -4.053083673939462         0.13508791730346154       -1.0595907131943427        
Redshift      All|All|All                           All                  All      7.997487941109322         0.5590509492523488         9.440838802836893         -2.00164236998968          
