#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4327.493193355833    All      -0.7615979499428648        0.2039089802460481         -0.9310255993444357       0.2729499749442102         
Zeropoint     AB|CNIa02|SDSS_i                      7402.578168214114    All      0.809231522564155          -0.03480820138399565       0.6817310007114386        -0.24450898268751908       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.921658449745    All      0.08671885974432714        0.01959138082003875        -1.188248522579413        -0.07489170244875179       
Zeropoint     AB|CNIa02|SDSS_g                      4671.565186716256    All      0.008995172136498697       0.8831468165354295         1.8395654667331978        0.3668313072773221         
Zeropoint     AB|CNIa02|SDSS_r                      6104.339165681201    All      0.8446037311994745         -0.07313269273643286       -0.40490020524328596      -0.3170057824280904        
Check         All|All|All                           All                  All      0.9879513357015904         0.9987062834810878         -0.0028778597224983216    0.0033748146571710436      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4327.493193355833    All      -0.0009136713425138152     -2.8727941351549366e-06    -0.002014966705883231     0.00020675834191291777     
Lambda        AB|CNIa02|SDSS_i                      7402.578168214114    All      0.0006503541482108497      9.53672995195648e-06       0.0008663517296323317     -0.00017007401670985793    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.921658449745    All      -7.881003594916017e-05     6.922276040844622e-06      -0.0010214401353471321    -1.765634741125483e-05     
Lambda        AB|CNIa02|SDSS_g                      4671.565186716256    All      -0.0007711079995808322     -0.00012027503636958381    -0.0014414641339160312    0.00014767178399503324     
Lambda        AB|CNIa02|SDSS_r                      6104.339165681201    All      -2.4371791466719038e-05    6.6760121914888074e-06     -6.829579453116312e-05    7.065563455191693e-06      
MWEBV         All|All|All                           All                  All      -0.7500812856738901        -4.053242189725559         0.15811100260921251       -1.0688924093466472        
Redshift      All|All|All                           All                  All      7.146828878239518          0.4038281410586819         6.261140950587291         -1.9170112139903508        
