#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.870921492749    All      -0.6789915443120171        0.41056534121581834        -0.035666426749758035      0.35331289415736766        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5415.645268832625    All      0.7227204143584643         0.15916683219749928        0.13907088376402302        -0.17736184725905338       
Zeropoint     AB|CNIa02|SDSS_i                      7404.934899876624    All      0.42575301143660305        -0.06407530615284429       0.07057455048527439        -0.15640377986090057       
Zeropoint     AB|CNIa02|SDSS_g                      4673.052455791817    All      -0.6712195323535582        0.5935998587496272         -0.18830231866442232       0.4035902193635699         
Zeropoint     AB|CNIa02|SDSS_r                      6106.282581753757    All      1.2002809447110871         -0.10179972103934176       0.015645396034789337       -0.42343232784809864       
Check         All|All|All                           All                  All      0.9985432938405789         0.9974570049707587         0.0013220848699063911      -0.0002948414471150018     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.870921492749    All      -0.000250853096849348      5.756544065342442e-05      -0.0004926254953998016     7.847845102052104e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5415.645268832625    All      9.901189969927223e-05      -3.320624419025497e-05     -0.0005895025578133525     -6.937459098044186e-05     
Lambda        AB|CNIa02|SDSS_i                      7404.934899876624    All      -4.457173332480876e-05     -2.067868357935008e-05     -0.0002226570098409664     -2.1534073624604948e-06    
Lambda        AB|CNIa02|SDSS_g                      4673.052455791817    All      -0.00017105802610509462    -5.900153863323489e-05     -0.0008070205726213167     4.86862873856456e-07       
Lambda        AB|CNIa02|SDSS_r                      6106.282581753757    All      -9.462680879879253e-05     -2.6335556044398156e-05    -0.00030561977600889216    8.606300795171382e-06      
MWEBV         All|All|All                           All                  All      -0.8864291355237763        -4.050934920434646         0.011622580816623651       -1.0302649808921798        
Redshift      All|All|All                           All                  All      4.1957107634864705         0.24883694186543792        1.7183530945375824         -1.2089444454949134        
