#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.870921492749    All      -0.7175404759416522        0.44078489735133175        0.0007339067960687728      0.37733743274398873       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5415.645268832625    All      0.7281914049515343         0.15425732579634754        0.08531905272574081        -0.18314181398428678      
Zeropoint     AB|CNIa02|SDSS_i                      7404.934899876624    All      0.466905692905512          -0.07572100040915686       0.042156107966051515       -0.1748701324180195       
Zeropoint     AB|CNIa02|SDSS_g                      4673.052455791817    All      -0.6569190506701136        0.5742581636156707         -0.20319557817201073       0.3919672378098433        
Zeropoint     AB|CNIa02|SDSS_r                      6106.282581753757    All      1.178163790383841          -0.09696284955724721       0.07162081403151443        -0.41215458906148883      
Check         All|All|All                           All                  All      0.9988013616291215         0.996616536796946          -0.0033656966526351972     -0.0008618649099630393    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.870921492749    All      -0.0003559298127331828     8.789827379959642e-05      -0.0005884764794388009     0.00011830840679142134    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5415.645268832625    All      9.095631182756854e-05      -2.310263356306493e-05     -0.0005746890395322444     -6.279848332460944e-05    
Lambda        AB|CNIa02|SDSS_i                      7404.934899876624    All      -5.7439246644835195e-05    -1.6687668632269507e-05    -0.00020776175032861672    4.0026769438257975e-06    
Lambda        AB|CNIa02|SDSS_g                      4673.052455791817    All      -9.729076719898784e-05     -6.83517985767557e-05      -0.000758641315008469      -2.442830343124695e-05    
Lambda        AB|CNIa02|SDSS_r                      6106.282581753757    All      -4.997960198354116e-08     -3.435843767296124e-05     -0.00022467782909175587    -2.120173311288217e-05    
MWEBV         All|All|All                           All                  All      -0.8882056499926869        -4.051305959540752         0.015281132119104868       -1.029643906986237        
Redshift      All|All|All                           All                  All      3.9969917149950005         0.16393283296567418        2.022906069882202          -1.1582803747411936       
