#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8065.042568220336     All      1.2206032529427029         -0.1058056005774688       4.176412706874899         -0.24568088360857018      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4242.824123581061     All      -0.5363987797509544        0.7573295014672965        2.1918783452645307        0.5192233272050462        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5236.9641615584105    All      -0.41753731922451487       0.3148028121753299        -3.2689612244569233       0.09266854841994993       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6241.407714922757     All      0.7560039695827878         0.01324433046896445       -2.994351772595305        -0.3755654175763454       
Check         All|All|All                       All                   All      1.0226711235500214         0.979571043534122         0.10497805508720148       -0.0093544255599195       
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8065.042568220336     All      -0.00016872757780354977    1.2104773363946424e-05    -0.0005520060933020403    3.426954931111292e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4242.824123581061     All      -0.0005764988303351887     0.00027601487040083365    -0.001006881689192716     0.000232759253849062      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5236.9641615584105    All      -0.00028551729567920085    0.00010490165526336485    -0.0015520398742086701    5.7911885399341336e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6241.407714922757     All      -0.0001056763000916933     -5.810191334389235e-05    0.0010307557609755993     6.149443843695703e-05     
MWEBV         All|All|All                       All                   All      -0.6308062622952315        -4.014174617874922        1.061952163946911         -1.0546843352179034       
Redshift      All|All|All                       All                   All      7.777944147452621          -1.3716216379497936       9.429492420015094         -2.559519649465911        
