#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8065.042568220336     All      1.2167560022351176         -0.08811745222896405      4.843904996030371         -0.20887898045860606      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4242.824123581061     All      -0.4578525362541972        0.7522244352939467        2.858222563020716         0.5217112256293102        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5236.9641615584105    All      -0.38848032503521096       0.32605880356681993       -3.0901967641948884       0.09484761299913068       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6241.407714922757     All      0.5951188965320828         -0.026428735255024094     -4.700850683564102        -0.41223588776397035      
Check         All|All|All                       All                   All      0.9655420374777919         0.9637370513767785        -0.08891988870790346      -0.004556029594135591     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8065.042568220336     All      -0.00017980583186969813    9.592468385361152e-06     -0.0007127146511195757    2.98880759125985e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4242.824123581061     All      -0.0005688160183099616     0.00025469172336545264    -0.001059926203526604     0.00022094392566523435    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5236.9641615584105    All      -0.00025796030406773996    0.00012801866514756052    -0.0013128951169370429    6.713756944460116e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6241.407714922757     All      -0.0001454956975697563     -4.819524564192148e-05    0.0011469249316811867     8.287595034793401e-05     
MWEBV         All|All|All                       All                   All      -0.5991554903205856        -4.0085764615987785       1.361217458439605         -1.0498156936390772       
Redshift      All|All|All                       All                   All      6.81427834221775           -1.0750105229392126       3.278093067998778         -2.4235146953879902       
