#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3652.98420697436     All      -1.271849266242435         0.3828698001420605         -0.9326915021499849        0.4973747005178983         
Zeropoint     AB|SDSS|SDSS_r            4773.358323171116    All      1.1263485553958177         0.4823385228906574         1.7283080157526332         -0.13264880597623763       
Zeropoint     AB|SDSS|SDSS_i            5788.531264911537    All      1.0688266380836695         0.12839785024194583        -0.8795668169810034        -0.34557962272577236       
Zeropoint     AB|SDSS|SDSS_z            6882.081149812746    All      0.07559609783270492        0.005210621967677298       0.09129558282026107        -0.018852762546792134      
Check         All|All|All               All                  All      0.9989220250697569         0.998816795242341          0.007345279441905994       0.0002935092690961594      
Lambda        AB|SDSS|SDSS_g            3652.98420697436     All      -0.002260552096053923      0.00034633101572185265     -0.004289761497267154      0.0006577152399511972      
Lambda        AB|SDSS|SDSS_r            4773.358323171116    All      -0.00019493625682982265    -0.00010419031733129911    -0.0010948150166486784     -1.9297627942132064e-05    
Lambda        AB|SDSS|SDSS_i            5788.531264911537    All      -0.00020811655376396434    9.921848319148198e-06      0.0008896622315480594      0.0001107238201319859      
Lambda        AB|SDSS|SDSS_z            6882.081149812746    All      -0.00010057506834856206    -1.2580987400786744e-05    -0.00029046365369652977    1.5700508270798285e-05     
MWEBV         All|All|All               All                  All      -0.566611584823244         -2.8656082372032543        0.17433695449158293        -0.7410789868451673        
Redshift      All|All|All               All                  All      5.881664770719223          -0.40916057715989496       1.514859090470888          -1.9815275740992204        
