#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3652.98420697436     All      -1.1674717080877857        0.3527054889236325         -0.8182958887800867        0.4586549381917089         
Zeropoint     AB|SDSS|SDSS_r            4773.358323171116    All      0.9553382808375582         0.5307035120257098         2.0292555517108206         -0.04776115903174787       
Zeropoint     AB|SDSS|SDSS_i            5788.531264911537    All      1.0503649766075502         0.10156463247241732        -1.5553905650320876        -0.3784654239558726        
Zeropoint     AB|SDSS|SDSS_z            6882.081149812746    All      0.15855717112596854        0.013542962283707993       0.3468107622918236         -0.03175932716882108       
Check         All|All|All               All                  All      0.9967887204832913         0.9985165957054676         0.0023798601904697625      0.0006690280352672981      
Lambda        AB|SDSS|SDSS_g            3652.98420697436     All      -0.002283523156211717      0.000547156422887762       -0.0026658091189533254     0.0008030826481442584      
Lambda        AB|SDSS|SDSS_r            4773.358323171116    All      -6.232028729704585e-05     -3.3788417306275516e-05    -0.0007571372728303236     -2.4493790354066455e-05    
Lambda        AB|SDSS|SDSS_i            5788.531264911537    All      -0.00018780830146566865    8.846537383006595e-06      0.0006319248241946687      9.225685334310909e-05      
Lambda        AB|SDSS|SDSS_z            6882.081149812746    All      -9.179340573608661e-05     -7.071337937009805e-06     -0.00021056058791650497    1.8200412786487173e-05     
MWEBV         All|All|All               All                  All      -0.5527141240194817        -2.878317573686573         0.03875719314103327        -0.7557959981129543        
Redshift      All|All|All               All                  All      5.761985403005188          -1.1067088102958422        -1.0442854289193355        -2.2839613410628594        
