#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6200.087545969009    All      0.43158944631879775        -0.05904704438206565      0.212809095963991          -0.15031975392631813       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7520.712390920187    All      0.14207439522661366        -0.03432903218500982      0.10890106362441941        -0.05260064550328274       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4349.959067455644    All      -0.2743057283637146        0.18205615659123708       0.0683239862888433         0.15170106549723883        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5313.825024746155    All      0.21535638926354067        0.20327730205220718       0.0293347711286848         -0.002625479989154295      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5368.50744567776     All      0.21016533167909707        0.1252113415085354        -0.002585807614230783      -0.02778770221944993       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4336.518539725516    All      -0.2713102143960344        0.14141207419520185       -0.07308755959886444       0.13117566544827097        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4404.288291133182    All      -0.23466537809545945       0.07795293542480763       -0.2020369259685107        0.09281408946663881        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7548.546783328957    All      0.12406495213531059        -0.035077536955441246     0.05043227025080877        -0.0495873837349808        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6296.635807316719    All      0.32679989454301095        -0.04402900119506725      -0.11629939934927479       -0.12598107929932537       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5326.579426865748    All      0.13389094342143276        0.08250709887525076       -0.25820389572342745       -0.028259862625502136      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3554.89153447826     All      -0.1518877741642473        0.06927170460935272       -0.004804308878585015      0.07182452392743775        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4751.922784971629    All      -0.21127456086102236       0.3569635432387308        0.1486299149077918         0.1917265154534595         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6151.141524573952    All      0.4704659841965515         -0.04708393162671243      0.06319233684634866        -0.1657630507085714        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7801.674840820854    All      0.08435437940523663        -0.022384594743574127     -0.025594558958280805      -0.03591056310296262       
Check         All|All|All                                All                  All      0.9953180603091134         0.9967010154074529        -0.000989017080286217      0.00040633868349845836     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6200.087545969009    All      -0.00011960772847838201    3.359665901221322e-05     -0.0001670100906259923     4.245081598528804e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7520.712390920187    All      -3.8506955973187764e-05    1.339588632474822e-05     -0.0001018748255312698     1.2360257719919226e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4349.959067455644    All      -0.0001316010608700614     2.985671257741975e-05     -0.00014104643272803201    4.629785412499699e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5313.825024746155    All      2.320028468046338e-05      4.9910799426766736e-05    -0.0005480925801234431     -1.5758361150035296e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5368.50744567776     All      3.132380058858392e-05      5.837606229104398e-05     -0.0004157482206025735     -9.741121993515479e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4336.518539725516    All      -0.00016305466997996543    6.480992598969548e-05     -0.0002300971086227065     6.395481826982088e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4404.288291133182    All      -0.00015167714363716273    6.654388064160643e-05     -0.00022642706781529393    6.097736677135958e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7548.546783328957    All      -3.917300999419671e-05     1.1993426596920896e-05    -8.240921507426313e-05     1.298904694656142e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6296.635807316719    All      -8.85335357625817e-05      1.8437961778417365e-05    -0.00012457043827870983    2.928512947779017e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5326.579426865748    All      1.4527805985277493e-05     9.285433072089848e-05     -0.0006966759937332593     -5.57592391069562e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3554.89153447826     All      -0.00029841442800347196    0.00011066445132103324    -0.00010949557071458436    0.00012836416486534434     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4751.922784971629    All      -0.00010423878865807315    -7.442270038529337e-05    -0.0005369452671088909     -1.4249320300045049e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6151.141524573952    All      -0.0001011820249087547     2.3653740811704077e-05    -0.0003767784927564288     2.3849222219162225e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7801.674840820854    All      -7.390903772749512e-06     4.824622398115954e-06     2.725154046493007e-05      5.195109841876511e-06      
MWEBV         All|All|All                                All                  All      -0.9639959108199645        -4.014755943893622        0.014498243554094813       -0.9930859197741847        
Redshift      All|All|All                                All                  All      6.982715688486703          -1.109363167646471        10.390598208948745         -2.1721716291554385        
