#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5129.694422199496     All      1.362214376904926         0.1647176845919418        0.44732451233154114        -0.3701020306591411        
Zeropoint     AB|MEGACAMPSF|r           3641.1281232913498    All      -1.8733399432567839       0.15865996657709047       -0.05815843057215869       0.6592938777998334         
Zeropoint     AB|MEGACAMPSF|i           4452.108283187418     All      1.5105013151576991        0.6754040340481993        -0.39310143589631186       -0.2895609699763175        
Check         All|All|All               All                   All      0.9993757488058416        0.9987816852172315        -0.003935354136929414      -0.00036912283562517967    
Lambda        AB|MEGACAMPSF|z           5129.694422199496     All      0.00043479717396814626    5.5244849036823576e-05    -0.00041642045929845677    -0.00014221561167922193    
Lambda        AB|MEGACAMPSF|r           3641.1281232913498    All      -0.0034453374058987752    0.0001714092088015363     -0.0011667069410954249     0.001126028587547309       
Lambda        AB|MEGACAMPSF|i           4452.108283187418     All      -0.000577191620682802     -0.0002478573729565374    -0.0035703215849451613     -5.205205518280862e-05     
MWEBV         All|All|All               All                   All      -0.18429009696020215      -1.9088164672766084       0.012888739324304118       -0.5611598088042269        
Redshift      All|All|All               All                   All      8.403901839558094         1.0208323384585327        6.009628342298031          -2.1367265205878603        
