#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5301.543476787617    All      0.6516356288843581         0.20467359624785075        -0.045211400179458044      -0.14760781578537235       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4740.385744146245    All      -0.5914217530358983        0.5706824992341986         -0.041331181523580195      0.37669116625451676        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6136.207365476048    All      1.2911440030339323         -0.12670206880889268       0.04762062454185284        -0.4597140215897691        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7502.453094669747    All      0.4268270913279212         -0.07329391682588948       0.1164131240471547         -0.15771088278806206       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4339.397941439729    All      -0.7787087664189233        0.42177625204864455        -0.07574809231267848       0.38765717583737164        
Check         All|All|All                              All                  All      0.9994762037913899         0.9971363618959117         0.0017430745732908148      -0.000684378071315106      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5301.543476787617    All      0.00017343170122922807     4.3277765008072195e-05     -0.0009550333692614555     -8.501417192507338e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4740.385744146245    All      -0.00012209549128484266    -0.00012014280593889207    -0.0006481299540281075     -2.8287009236449556e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6136.207365476048    All      -0.0002522399430191872     6.407120813331728e-06      -0.0006599202110418522     5.480064981100494e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7502.453094669747    All      -8.528381040796638e-05     8.229809040757011e-06      -0.000221354508533006      2.058242728980507e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4339.397941439729    All      -0.00032072652604799923    0.00010838861716853281     -0.00019736376895673985    0.00013096948106497026     
MWEBV         All|All|All                              All                  All      -0.8667414729451353        -4.04156272718339          0.010078872711030022       -1.0336939572237274        
Redshift      All|All|All                              All                  All      6.11915501899288           0.4687813579480782         6.205186235389648          -1.563603630878313         
