#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5301.543476787617    All      0.5866300200880197         0.22397935303679617        -0.11273475516428988       -0.12315808746212742       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4740.385744146245    All      -0.5191213869824882        0.587328448072455          -0.030658043134140778      0.35903898473796936        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6136.207365476048    All      1.2865213328368357         -0.17319418400099096       0.028179091253577315       -0.47421986362738977       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7502.453094669747    All      0.37683527032631237        -0.07904264067182254       0.059628526760957534       -0.14583348626445725       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4339.397941439729    All      -0.7595995906129605        0.45444339527431765        0.0155504510860216         0.3961476865426916         
Check         All|All|All                              All                  All      0.9712656456557189         1.0135143717107553         -0.04003472919787421       0.011975233926686535       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5301.543476787617    All      0.00036752643861745786     0.0002439949132234033      -0.0010054459401380759     -8.510671634950197e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4740.385744146245    All      -0.000599551738588599      0.0005001861194094161      -0.0004425719041118161     0.00033847084922954276     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6136.207365476048    All      0.0005597886312387434      -0.00011678585293453526    -0.0006701225778104162     -0.00025028706102062076    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7502.453094669747    All      -1.9181113739783974e-05    -4.823091202877811e-06     -0.0002014829533418885     -4.314378524733736e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4339.397941439729    All      -0.0010143139252434558     0.0005667260883449052      -4.5568506296982435e-05    0.0005129632339497311      
MWEBV         All|All|All                              All                  All      -0.8484352135354025        -4.052541228286266         0.012816217945510466       -1.0431108120170451        
Redshift      All|All|All                              All                  All      5.39705987127515           -4.296312268362357         4.577359893303867          -2.9531836593664096        
