#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5226.9408385137685    All      0.3073880335612832        0.3151804479738729        -0.2531711566152728        -0.008759620209675134      
Zeropoint     VEGAHST|ACSWF|F850LP                   5950.3910386228645    All      1.7815664616630285        -0.2918050664863614       0.1605691454889313         -0.6681998551196763        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4364.873922945963     All      -0.30546572264301913      0.3769122323134866        -0.07442558359626039       0.21895167752567363        
Zeropoint     VEGAHST|ACSWF|F625W                    4162.8119308843825    All      -1.1988024299980489       0.25919843468962256       -0.1692378719985288        0.4673665394866036         
Zeropoint     VEGAHST|ACSWF|F775W                    5066.028825897314     All      0.4027503137549979        0.33941633151570727       0.2938317488022535         -0.007517600212827991      
Check         All|All|All                            All                   All      0.9874366563382413        0.9989023800063279        -0.04243371791887718       0.0018411414700978401      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5226.9408385137685    All      8.376653574482961e-05     8.729607357450762e-05     -0.00013008121865008384    -4.655240757453901e-06     
Lambda        VEGAHST|ACSWF|F850LP                   5950.3910386228645    All      -0.0002799873513406965    5.7292381270043796e-05    -0.00046491810076443535    8.91159455394178e-05       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4364.873922945963     All      -6.165285676873231e-05    3.411005105656399e-05     -3.820606726463076e-05     2.9488168276886606e-05     
Lambda        VEGAHST|ACSWF|F625W                    4162.8119308843825    All      -0.001399481363147236     0.0002682804383729699     -0.0003632803062151691     0.0005270333549083803      
Lambda        VEGAHST|ACSWF|F775W                    5066.028825897314     All      -0.0003285267730626861    8.200778420159483e-05     -0.003902835580563819      -4.0441015398359055e-05    
MWEBV         All|All|All                            All                   All      -0.1807977458311325       -2.321161067399835        -0.006912735766351208      -0.6974952333448511        
Redshift      All|All|All                            All                   All      7.82626258048509          -0.6640377109686568       11.731638850181259         -2.242040967094109         
