#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5226.9408385137685    All      0.30319894982192663        0.3473416683913655        -0.15139345240437138       0.007622741234540695      
Zeropoint     VEGAHST|ACSWF|F850LP                   5950.3910386228645    All      1.7583861478491007         -0.30470043293497895      0.4012968602986813         -0.6541071371085213       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4364.873922945963     All      -0.27636912011820874       0.44120484573682006       -0.010264476171681908      0.2332793917327389        
Zeropoint     VEGAHST|ACSWF|F625W                    4162.8119308843825    All      -1.2050235090889883        0.2218462073134475        -0.015140554286692297      0.46410275585184335       
Zeropoint     VEGAHST|ACSWF|F775W                    5066.028825897314     All      0.41203752310686975        0.2869162036226669        -0.2403598990662548        -0.05148228848738754      
Check         All|All|All                            All                   All      0.9922299915707            0.992608492129321         -0.01586152163031912       -0.0005845367767859169    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5226.9408385137685    All      9.299370169083275e-05      8.961874864894814e-05     -7.903468640935496e-05     -4.626288299663271e-06    
Lambda        VEGAHST|ACSWF|F850LP                   5950.3910386228645    All      -0.00034048700419148743    6.142436505279757e-05     -0.0003054361914104477     0.00011728554104920315    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4364.873922945963     All      -5.194985400565527e-05     1.7289540334260953e-05    -4.277075998389602e-05     2.0644886065837938e-05    
Lambda        VEGAHST|ACSWF|F625W                    4162.8119308843825    All      -0.0013650885859179862     0.00022998043761086073    -0.00019261679620590177    0.0005109708542177975     
Lambda        VEGAHST|ACSWF|F775W                    5066.028825897314     All      -0.0002231011217215693     7.610226858767937e-05     -0.0035837920026979522     -6.2467789596212e-05      
MWEBV         All|All|All                            All                   All      -0.17704343074341944       -2.3213105213246266       -0.011030159451020247      -0.6989505610508133       
Redshift      All|All|All                            All                   All      8.769247106004398          -0.5812552312121966       11.920177819346074         -2.5138234449401247       
