#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          7129.65504499142      All      0.562521762933684         0.0528988992474666         0.6622960609827588         -0.13644570141093798       
Zeropoint     AB|DECam|DECam_i          6084.086910002284     All      0.8161022001229016        0.11524685036157223        -0.3346426131786595        -0.24322520774163053       
Zeropoint     AB|DECam|DECam_g          3768.0314806783417    All      -0.7684187329662722       0.5011796654789791         -0.42593778754611566       0.39454231972359394        
Zeropoint     AB|DECam|DECam_r          5007.993761676541     All      0.38728313780730816       0.32861750770578624        0.0970354175169108         -0.014779080749741103      
Check         All|All|All               All                   All      0.9974883678976219        0.9979429227938041         -0.001248922225105531      9.232982128432043e-05      
Lambda        AB|DECam|DECam_z          7129.65504499142      All      -0.0003251317871216658    -2.4639249212424367e-05    -0.00037853086601622447    8.098821148697677e-05      
Lambda        AB|DECam|DECam_i          6084.086910002284     All      -1.777095920562785e-05    -1.968737712617429e-06     -9.810490617295568e-05     7.693320349561873e-07      
Lambda        AB|DECam|DECam_g          3768.0314806783417    All      -0.0012921814381619962    0.0008980765231705028      -0.0005496521148449444     0.0006889106259279289      
Lambda        AB|DECam|DECam_r          5007.993761676541     All      -0.0001284518304271503    -4.547420097198986e-05     -0.000891354400670393      -1.2748509262763328e-05    
MWEBV         All|All|All               All                   All      -0.46877324907985196      -2.9207706492409002        0.0359949218619704         -0.7970899335068268        
Redshift      All|All|All               All                   All      5.626906355242971         -0.9779534644318133        0.8699769932994705         -2.112597059150735         
