#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8478.826172050281    All      0.38535348116618384        -0.0975848634475085        0.029578583863858924       -0.15598895069196864       
Zeropoint     AB|PS|PS_g                4796.463813684088    All      -1.1130238730595146        1.2388080139874802         -0.03014970743963185       0.7647235756116499         
Zeropoint     AB|PS|PS_i                7377.742343397351    All      0.55547585224626           -0.10511311505894128       0.4370611112721434         -0.19567152933580378       
Zeropoint     AB|PS|PS_r                6091.183431035441    All      1.171494209015565          -0.037044113913253796      -0.434769422933178         -0.41306245402953234       
Check         All|All|All               All                  All      0.9992996693684942         0.9990659215677766         0.0017205647631924892      6.415543452042982e-07      
Lambda        AB|PS|PS_z                8478.826172050281    All      0.00043651924609918325     -0.00012615014003124078    -0.00025742470494660485    -0.00019476761260850455    
Lambda        AB|PS|PS_g                4796.463813684088    All      -0.00038329664098200335    -4.637141085487174e-05     -0.0015215631910342497     4.184725503434507e-05      
Lambda        AB|PS|PS_i                7377.742343397351    All      -7.226131574633737e-05     -2.506436610276307e-05     -0.0007112753807764146     -1.636735424195261e-05     
Lambda        AB|PS|PS_r                6091.183431035441    All      -0.00022290719788417075    -1.8795552014475046e-05    -0.0007262193682771163     3.407804313215986e-05      
MWEBV         All|All|All               All                  All      -0.6865058305838261        -4.0690649742805896        0.05348067311376581        -1.0994241991792109        
Redshift      All|All|All               All                  All      5.293099653022533          1.4428933049257964         12.120028815601156         -0.7132776548401881        
