#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8478.826172050281    All      0.37099608827775676       -0.11266333660904237       -0.13776040633635134      -0.16369140083220823       
Zeropoint     AB|PS|PS_g                4796.463813684088    All      -1.1578246607225493       1.2693446885736037         -0.16997069036730483      0.7830238973015741         
Zeropoint     AB|PS|PS_i                7377.742343397351    All      0.6501127289766994        -0.12372013980410657       0.8032439159896709        -0.21621773690235213       
Zeropoint     AB|PS|PS_r                6091.183431035441    All      1.1342531587441624        -0.032743859781270146      -0.49471227240063254      -0.4022060585812115        
Check         All|All|All               All                  All      0.9975373152760693        1.0002173523791846         0.0008005468853822251     0.0009087009858022022      
Lambda        AB|PS|PS_z                8478.826172050281    All      0.00037404574552483966    -0.0001342103963122781     -0.0005750729678787234    -0.00019121861186856772    
Lambda        AB|PS|PS_g                4796.463813684088    All      -0.0005559296147880292    0.0001471613279734182      -0.0016509545587518307    0.00015534533166529206     
Lambda        AB|PS|PS_i                7377.742343397351    All      -0.0001453327721249662    -1.0473817712983203e-05    -0.0008978397470651241    3.861533897088276e-06      
Lambda        AB|PS|PS_r                6091.183431035441    All      -0.0001727826886554619    -4.752661462896266e-05     -0.0008893976210940825    1.1102931389608923e-06     
MWEBV         All|All|All               All                  All      -0.6915121725403472       -4.071038087498913         0.04531299435541758       -1.0988006627791118        
Redshift      All|All|All               All                  All      5.463177788890547         0.5977129076201848         13.135139710789078        -0.9986810230919407        
