#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3961.982914453748    All      -0.8229376643848297        0.6114693490223644         1.0967851270782702        0.5161780377253802        
Zeropoint     AB|SDSS|SDSS_i            6278.171673333441    All      1.2000776894182992         0.0838170378372638         -0.42507720047915143      -0.3825720612529899       
Zeropoint     AB|SDSS|SDSS_z            7464.222779661661    All      0.1347061897919826         0.0034992958340751557      0.055997672730528913      -0.04023948299473126      
Zeropoint     AB|SDSS|SDSS_u            3013.034715475001    All      -0.09543565354891637       0.035375799968662136       0.1532497441836811        0.04944842621196835       
Zeropoint     AB|SDSS|SDSS_r            5177.127260737237    All      0.5820328974580679         0.26398314199713724        -0.8762951849389133       -0.14270429830539472      
Check         All|All|All               All                  All      0.9984434587346035         0.9981446246595027         0.004660158574415485      0.00011062138423262313    
Lambda        AB|SDSS|SDSS_g            3961.982914453748    All      -0.0008478822718013175     0.0004332068535971103      -0.0016536156506185       0.0003434996030174897     
Lambda        AB|SDSS|SDSS_i            6278.171673333441    All      -0.00030455627769576183    -3.218568558561608e-05     -0.0003830094163766909    7.162811142232544e-05     
Lambda        AB|SDSS|SDSS_z            7464.222779661661    All      -2.1866135977983848e-05    -2.7857523212403145e-06    -9.716907961168934e-05    1.8788989413492164e-06    
Lambda        AB|SDSS|SDSS_u            3013.034715475001    All      -8.63031130396498e-05      3.043307548082218e-05      0.00011403623931523055    4.311373071878129e-05     
Lambda        AB|SDSS|SDSS_r            5177.127260737237    All      0.0002601168378225132      5.004213833988677e-05      0.00014679359357751433    -6.187751699104462e-05    
MWEBV         All|All|All               All                  All      -0.7011035483395163        -3.2194597615578857        0.17264230933041746       -0.8126072367557337       
Redshift      All|All|All               All                  All      4.385190091515342          -0.3564603891543783        -2.5590484932985658       -1.6587101381927114       
