#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_V
@MAGSYS  Linear_AB11_off
54162.47  14.787  0.01
54169.47  13.454  0.01
54171.43  13.362  0.01
54174.51  13.206  0.01
54175.48  13.237  0.01
54177.44  13.268  0.01
54181.45  13.346  0.01
54183.44  13.439  0.01
54185.42  13.596  0.012
54188.43  13.769  0.01
54190.39  13.937  0.01
54198.39  14.298  0.017
54201.36  14.556  0.036
54207.39  14.956  0.012
54211.38  15.131  0.01
54214.37  15.289  0.01
54217.36  15.371  0.01
54225.37  15.608  0.012
54228.38  15.657  0.011
54231.35  15.723  0.01
54234.35  15.861  0.012
54239.34  15.991  0.014
