#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7447.146970224405    All      0.5383566039133829         -0.06193299437207145       0.5374317990185951        -0.17155095824752664      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4323.904847284336    All      -0.6525438223542426        0.4159456333684197         -0.42294197429062486      0.32916821017747455       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5418.650648708465    All      0.7516523341851602         0.1782976318501106         0.03364422067866357       -0.18525910231337872      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6137.03459814206     All      1.2150763227199821         -0.06438900565273187       0.19647068588297678       -0.4079963662562691       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4655.548008680947    All      -0.8416591391079797        0.5292381029759596         -0.3095808541635714       0.4327311612584789        
Check         All|All|All                      All                  All      1.0108822993563025         0.9971593681696866         0.03502387712603916       -0.0029070553812210465    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7447.146970224405    All      -8.961388324892337e-05     -1.861085976787765e-05     -0.0006230086057166569    -4.673992020239837e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4323.904847284336    All      -0.0002465297493737697     5.0250148748503174e-05     -0.0005749197779024293    7.101494741030621e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5418.650648708465    All      -2.4771278516079378e-05    -3.0829604429242855e-05    -0.002161866521452212     -9.844756982153631e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6137.03459814206     All      -0.000373052040279587      -2.487020692545799e-05     -0.0009290254339664309    7.195613970707752e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4655.548008680947    All      -0.0003727517136798176     -1.066337438136563e-05     -0.0007247552159632797    8.560158785390315e-05     
MWEBV         All|All|All                      All                  All      -0.8780265640078628        -4.040362620926263         0.02469841607513068       -1.0289747146306538       
Redshift      All|All|All                      All                  All      9.652525802309246          0.36983261191076977        14.15539372210548         -2.3919883552019625       
