#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7447.146970224405    All      0.4664061129051938         -0.07481401204261218      0.1916211968058897         -0.16774202637960883       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4323.904847284336    All      -0.6242954365246517        0.43712099752779565       -0.03854294269205906       0.344018257623334          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5418.650648708465    All      0.6417635398443704         0.1727294173021754        -0.09625545599528065       -0.15707528339203536       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6137.03459814206     All      1.2155135585557906         -0.10762698768784773      -0.017473080329686468      -0.4317701492667118        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4655.548008680947    All      -0.7003892149583647        0.5700335036936011        -0.03718570719214537       0.41215904780672374        
Check         All|All|All                      All                  All      0.9989985598223383         0.9974429187931122        0.002164010596718148       -0.0004101536082982693     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7447.146970224405    All      -1.163965641281267e-06     -3.424572171498132e-05    -0.000334438656433102      -2.5700277526070045e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4323.904847284336    All      -0.0004080698108185828     0.0001905715822183168     -0.00045866094829706056    0.00017452926486000078     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5418.650648708465    All      0.0002094468986181865      -6.42739305490643e-06     -0.0013433091100031398     -0.00013026307483502382    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6137.03459814206     All      -0.00015256211082931957    -2.839111505163875e-06    -0.0002076068370848669     3.950516698486284e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4655.548008680947    All      -0.00037066835779128417    0.00010860089909570141    -0.0005588330202297294     0.00013117561339267514     
MWEBV         All|All|All                      All                  All      -0.8606711803548026        -4.0469404117053465       0.029918973801727138       -1.036537567407071         
Redshift      All|All|All                      All                  All      8.44216140118924           -0.9602029146762447       10.195132010409521         -2.6076974691984955        
