#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                 dmB/dP                  ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_z            7544.176815237396    All      1.0832080304958878     0.8554190822859908      -0.009099919401247283      -0.07460444207422404     
Check         All|All|All               All                  All      1.0832080304958878     0.8554190822859908      -0.009099919401247283      -0.07460444207422404     
Lambda        AB|SDSS|SDSS_z            7544.176815237396    All      0.03156360143997259    -0.05533605328086005    -2.6370113853505518e-05    -0.028307253233365005    
MWEBV         All|All|All               All                  All      -2.0806300850837567    -0.34230291253809497    0.08934461068085395        0.5702173889931397       
Redshift      All|All|All               All                  All      -267.422778737373      465.19213117762416      -16.89375886271078         237.88288760612568       
