#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8134.990833207602    All      0.45992973322985103        -0.09258965382441531      0.4284601261758336         -0.16085353412644207      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4285.833210304699    All      -1.1383772660811418        0.6614014504680021        -0.2076890858312419        0.57697892892191          
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5290.014898359393    All      0.5577256044946612         0.5062100948124204        -0.4240076733655007        -0.035701811378929804     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6214.231729536407    All      1.1182469241980508         -0.0772118309163794       0.20354953521830588        -0.38031676507802037      
Check         All|All|All                                   All                  All      0.9975249958414216         0.9978100605396278        0.0003129021973968804      0.00010681833851777789    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8134.990833207602    All      -3.882243311563754e-05     1.631775595447441e-05     -0.00015179247841355846    1.1187172484512846e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4285.833210304699    All      -0.0007717774246397734     0.0002318000303561896     -0.00183195461868764       0.00024514647304096297    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5290.014898359393    All      3.129642339517483e-05      0.00018546018472902814    -0.0019733204436899934     -3.784401936536672e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6214.231729536407    All      -0.00031285280186236597    3.640815234912553e-05     -0.00047329621327782135    9.264474690307165e-05     
MWEBV         All|All|All                                   All                  All      -0.7822367314855598        -3.9945915150840783       0.10968437564374822        -1.0414749264284446       
Redshift      All|All|All                                   All                  All      6.007639065362456          -1.4646792970979483       11.801747830201514         -1.9073221204308783       
