#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8134.990833207602    All      0.4582764086445108        -0.11384239764451465      0.27698816307430807        -0.17399720780060107      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4285.833210304699    All      -1.1355522797417192       0.7068143311534492        0.010194286263956449       0.6005743414049937        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5290.014898359393    All      0.5406544346033013        0.5235701802063453        -0.3745061890113144        -0.02227739488322675      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6214.231729536407    All      1.1353798046539625        -0.11993178546623184      0.08797844212714591        -0.40497020962500824      
Check         All|All|All                                   All                  All      0.9987583681600554        0.9966103282490479        0.0006547024540960594      -0.0006704709038424239    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8134.990833207602    All      -4.268644169832404e-05    1.7025481973539937e-05    -0.0001411380598118197     1.31517946181253e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4285.833210304699    All      -0.0008081059415563881    0.00026524526129616624    -0.0018563761474654165     0.00026678425754064896    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5290.014898359393    All      0.00012267475994691732    0.0001743468767912831     -0.0016581708596185296     -5.716524134311817e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6214.231729536407    All      -0.0003005087956315133    4.626346958607227e-05     -0.00033141588534462573    9.816556642520256e-05     
MWEBV         All|All|All                                   All                  All      -0.78882056053564         -3.9989855518265394       0.07051132305912586        -1.0425097524533549       
Redshift      All|All|All                                   All                  All      5.991654117984386         -1.6703399699345312       10.924335875792694         -2.008260610076651        
