#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6102.477051699634     All      1.366633690161316          -0.2575564797021812        -0.22329923365076443       -0.5390169918155219       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.173101964812     All      -0.5325557748731073        0.41842942287058094        -0.026480074406132204      0.30858548128666063       
Zeropoint     AB|CNIa02|SDSS_i                      7400.320029547087     All      0.856678928205526          -0.3235999873500539        0.41650691492918224        -0.36586888215318636      
Zeropoint     AB|CNIa02|SDSS_g                      4670.140136991154     All      -0.27458206739546287       0.2812226805677831         0.12945063392485467        0.186820679091515         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5412.2701546683065    All      -0.42344665173211693       0.8828305469493536         -0.294666909469532         0.412347828040438         
Check         All|All|All                           All                   All      0.9927281243661551         1.0013261833354825         0.0015113313276082785      0.0028681144499054234     
Lambda        AB|CNIa02|SDSS_r                      6102.477051699634     All      0.0006879218494746815      -0.00019288136454515334    -0.0007466074303103755     -0.0003202242449421356    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.173101964812     All      -0.0005906005618132021     0.00044766183136441207     -5.212960683231238e-05     0.000335869914345794      
Lambda        AB|CNIa02|SDSS_i                      7400.320029547087     All      4.646444423761517e-05      -6.833597689334209e-05     -0.00035671775129774173    -5.331294887907097e-05    
Lambda        AB|CNIa02|SDSS_g                      4670.140136991154     All      -0.00018752976512073692    0.00019023518554473983     4.5675057883129895e-05     0.0001250887405848422     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5412.2701546683065    All      -0.00040726773239226066    0.0006834173940369288      -0.0008409631945375487     0.0003177437031848682     
MWEBV         All|All|All                           All                   All      -0.811594306059487         -4.095759315266623         0.05397915838272205        -1.0673517473969718       
Redshift      All|All|All                           All                   All      4.905663281828842          -4.860190616712323         5.524587849850771          -2.934522919580329        
