#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6102.477051699634     All      1.2167440070931708         -0.12563984415772111      -0.05265075054093723       -0.4396081446498373        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.173101964812     All      -0.6931310356490528        0.4050936035425501        -0.07188272686629188       0.3545200995475312         
Zeropoint     AB|CNIa02|SDSS_i                      7400.320029547087     All      0.451531615606966          -0.08001812167606204      0.18433090548925288        -0.16491739518925091       
Zeropoint     AB|CNIa02|SDSS_g                      4670.140136991154     All      -0.5800990264063395        0.5778725892495729        0.08872953019789354        0.3811490427664573         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5412.2701546683065    All      0.604048717606199          0.21958406780351325       -0.1476969177112773        -0.13182382004206214       
Check         All|All|All                           All                   All      0.9990942782509434         0.996892294761853         0.0008300405686400003      -0.0006802175671618282     
Lambda        AB|CNIa02|SDSS_r                      6102.477051699634     All      -6.78121732856484e-05      -3.846163876610864e-05    -0.0007675722806456854     -2.4692790856325462e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.173101964812     All      -0.00030480779359332445    0.00011840908982720497    -0.0003251088472893835     0.00012334754766836609     
Lambda        AB|CNIa02|SDSS_i                      7400.320029547087     All      -6.375537259820418e-05     -7.92539279913402e-06     -0.00031648766709954824    4.062270164961578e-06      
Lambda        AB|CNIa02|SDSS_g                      4670.140136991154     All      1.9928699790849725e-05     -2.810598853400606e-05    3.609481073110688e-05      -1.4035732656252163e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5412.2701546683065    All      4.955360714990597e-05      7.392452279736731e-06     -0.0008713520738342997     -5.2617716281911504e-05    
MWEBV         All|All|All                           All                   All      -0.8830351559268519        -4.05070097531004         0.019226703102001752       -1.030954971028734         
Redshift      All|All|All                           All                   All      4.322140088808074          0.16368834687225942       4.07147762581614           -1.1728531945273626        
