#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8134.603036653363    All      0.28492130755853246        -0.09703580338218387       -0.014694737407894287      -0.12507175568911982       
Zeropoint     AB|PS|PS_r                5843.893745368756    All      0.6090976718453468         0.2453546053411415         -1.0057535378283466        -0.16336524468621785       
Zeropoint     AB|PS|PS_g                4601.737116938404    All      -0.9366386031955146        0.9834689267107066         0.0538026220953447         0.6278431560694735         
Zeropoint     AB|PS|PS_i                7078.220976870651    All      1.0401013316120207         -0.13326118548899757       0.9681847307549285         -0.33899713647804336       
Check         All|All|All               All                  All      0.9974817078203854         0.9985265431806667         0.0015390776140322693      0.0004090192160924322      
Lambda        AB|PS|PS_z                8134.603036653363    All      2.913787374628612e-05      -1.0980676351427343e-05    4.266212572408939e-05      -1.1164116896909843e-05    
Lambda        AB|PS|PS_r                5843.893745368756    All      -0.00010497531717359161    -3.503603119606182e-05     -0.00016580833919542024    1.5382261728911147e-05     
Lambda        AB|PS|PS_g                4601.737116938404    All      1.9277569368104962e-06     -8.42507209997946e-05      -0.0005467517413171859     -5.24701845267295e-05      
Lambda        AB|PS|PS_i                7078.220976870651    All      -0.0006692266526976461     8.346530318811791e-05      -0.0010429588038236351     0.00019863407158368925     
MWEBV         All|All|All               All                  All      -0.6377925181196664        -3.8640158225597965        0.05773603124986648        -1.048310575947524         
Redshift      All|All|All               All                  All      6.23820075441944           0.07131265392681385        7.547399133970167          -1.6719525795240109        
