#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8134.603036653363    All      0.30164052484268566        -0.11162510015676474       -0.049868347338264944      -0.13683960540221263       
Zeropoint     AB|PS|PS_r                5843.893745368756    All      0.5698187595462028         0.2215870689622257         -1.1430419725017384        -0.1644392315363893        
Zeropoint     AB|PS|PS_g                4601.737116938404    All      -0.9174152611309558        1.0199274605255049         0.32888367912912986        0.6457328292173132         
Zeropoint     AB|PS|PS_i                7078.220976870651    All      1.0429680894285953         -0.13155748574851245       0.8637235713991838         -0.34403760452619525       
Check         All|All|All               All                  All      0.9970121126865276         0.9983319435824534         -0.0003030693116896632     0.0004163877525160675      
Lambda        AB|PS|PS_z                8134.603036653363    All      5.271692231770117e-05      -1.7109729875165455e-05    6.285804189263544e-05      -1.9939772134715168e-05    
Lambda        AB|PS|PS_r                5843.893745368756    All      -7.529177088538754e-05     -4.7826051708481815e-05    -0.00022248733296709568    -9.820994917219449e-07     
Lambda        AB|PS|PS_g                4601.737116938404    All      -4.4609672515075197e-05    -2.607076645219463e-05     -0.000493536476512397      -1.5985534599126327e-05    
Lambda        AB|PS|PS_i                7078.220976870651    All      -0.0006852953363014475     7.19128360584057e-05       -0.0011677130329245298     0.00019453794359908556     
MWEBV         All|All|All               All                  All      -0.6358427489555383        -3.8663983803711943        0.0420300989291799         -1.050422640997511         
Redshift      All|All|All               All                  All      6.422396512300915          0.21679651367225716        9.586629000516819          -1.5935608552305711        
