#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4272.480825154291    All      -2.766956889346423         0.8152598930015742       -0.29807263136982787       1.153544244902388         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5116.300012554208    All      3.763461352304702          0.1869343046406513       0.30134084879451795        -1.1515450655958313       
Check         All|All|All                            All                  All      0.9965044629582787         1.0021941976422255       0.0032682174246900786      0.0019991793065567975     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4272.480825154291    All      -0.00044977015454718576    8.668783882458594e-05    -0.000892903122481289      0.0001348958519843111     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5116.300012554208    All      0.0004956255597001147      1.212558023159104e-05    -0.00034740004317898956    -0.0001729947183661385    
MWEBV         All|All|All                            All                  All      -0.045846503928051785      -2.260529405636724       0.001540747202777304       -0.7213263255185315       
Redshift      All|All|All                            All                  All      3.393813590419252          0.22946859860493163      -1.2508692897976514        -1.0865518190607812       
