#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5269.756348973559    All      -0.42442095969987004      1.335896588474128         0.5280715467357755         0.5969587459533549       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4292.115664184209    All      -0.5867796956017941       0.3167074677931758        -0.3265432017995007        0.2797233696248985       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6405.728200826587    All      1.3593829537693698        -0.2806562918172162       0.053021334216563076       -0.5318486393481814      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7684.875391273765    All      0.6412153516347796        -0.3730245924463027       -0.2818992102522344        -0.34295118432756955     
Check         All|All|All                                      All                  All      0.9893976501024851        0.998923172003785         -0.02734953109939653       0.001882291902502442     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5269.756348973559    All      -0.0004315518870129044    0.0007691142420665083     -0.0011459073672595104     0.0003399598761449055    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4292.115664184209    All      -0.000614150648321877     0.00042896835820510664    -0.00032026953809333533    0.0003254860194814973    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6405.728200826587    All      -0.0002498478231481376    2.9437723752005707e-05    -0.00021796147181910714    8.124587142049694e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7684.875391273765    All      -0.0001452997416264671    3.712692996453588e-05     -5.2403739928804804e-05    5.708383036506734e-05    
MWEBV         All|All|All                                      All                  All      -0.730551849562111        -4.026921205289913        0.002323648076707485       -1.0736322527496067      
Redshift      All|All|All                                      All                  All      8.329951735872864         -2.988480201151855        7.51434871220058           -3.351454776369134       
