#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5269.756348973559    All      -0.09900528605034098       1.0763264192903854        0.2171554197100027         0.3925348527169371         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4292.115664184209    All      -0.8508467360339261        0.46737740108735437       -0.3251020703331509        0.4148811574871788         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6405.728200826587    All      1.4150018163526372         -0.2519913477445179       0.265035655172583          -0.5311671919669418        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7684.875391273765    All      0.5305623048294494         -0.2957589396111793       -0.1674564218611698        -0.2766328254839117        
Check         All|All|All                                      All                  All      0.9957120990978195         0.9959535330220426        -0.010367417311735017      -0.00038400724673764985    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5269.756348973559    All      -0.0002763206627100207     0.0006748554819558341     -0.001894923430522094      0.0002252676334476638      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4292.115664184209    All      -0.0005996420919512685     0.00038307453336321694    -0.00043638443667631875    0.0003006293021139511      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6405.728200826587    All      -0.000367005510164115      0.00016754011065522824    -0.0005505905014902839     0.00014954876941862357     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7684.875391273765    All      -0.00012065172493561324    3.3322692816268965e-05    -4.670310693850556e-05     4.8070388306614645e-05     
MWEBV         All|All|All                                      All                  All      -0.782995311221601         -4.016241584927105        -0.05896097864757131       -1.0558058396678245        
Redshift      All|All|All                                      All                  All      8.008793942996807          -3.69519770297293         9.07080041526593           -3.407586967126483         
