#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                        6026.735797254996    All      0.5663515467360308         -0.0035260957971239293     -0.08802542464738441       -0.18955606700646466      
Zeropoint     AB|PS|PS_i                        7299.682301033313    All      0.31073069062009806        -0.05348217876495198       0.08783679514833924        -0.11471636105854317      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6177.383867844198    All      0.6782276926721669         -0.06048006755445812       -0.2199140286261364        -0.2504351733382429       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7982.312024782957    All      0.21100929265604712        -0.03863972162987395       0.10945543679081546        -0.07643440372820175      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4199.301582629298    All      -0.5897275043342336        0.36373569325460764        -0.16038129974572424       0.3034172506591782        
Zeropoint     AB|PS|PS_z                        8389.116136190887    All      0.1369744776631316         -0.030838336224370266      0.01994208646804479        -0.05377223063237125      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5183.243813850016    All      0.0928820828642217         0.3006590393640707         0.12490866944393697        0.07325389062334474       
Zeropoint     AB|PS|PS_g                        4745.714932648844    All      -0.41030100905830613       0.5190782631373736         0.12249548791736756        0.30819581564832543       
Check         All|All|All                       All                  All      0.9961472698191564         0.9965065957852737         -0.003682277250741023      -4.72788329753393e-05     
Lambda        AB|PS|PS_r                        6026.735797254996    All      -4.3652386294791844e-05    -8.41671572351377e-06      -0.0001579797488392524     4.427506508241204e-06     
Lambda        AB|PS|PS_i                        7299.682301033313    All      -6.952610416662453e-05     -1.8894325832074943e-05    -0.00031378535569669174    2.4896366788608503e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6177.383867844198    All      -0.00020646122599602443    -3.2535946426918217e-06    -0.0002857949861901013     5.343769323950773e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7982.312024782957    All      -7.772110086123281e-06     -8.256835612684631e-07     -2.764621487795919e-05     1.0289560542587652e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4199.301582629298    All      -0.00036460407925327797    0.00017509104914128235     -0.0003316021319673889     0.00016099857860424365    
Lambda        AB|PS|PS_z                        8389.116136190887    All      8.044912937107046e-05      -3.058972193908233e-05     -9.538286194535088e-05     -4.04255059923993e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5183.243813850016    All      -0.00013933346027379093    9.031035359987255e-05      -0.0008915080779716269     3.501863426434873e-05     
Lambda        AB|PS|PS_g                        4745.714932648844    All      2.4612949696164226e-05     -6.545524625773529e-05     -9.858124970688624e-05     -3.373740298493255e-05    
MWEBV         All|All|All                       All                  All      -0.7611457605653751        -3.977916106548829         0.02851311278705679        -1.046535521020074        
Redshift      All|All|All                       All                  All      5.027329869872688          0.5924358489975745         2.6070236006581684         -1.3282513966074736       
