#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                        6026.735797254996    All      0.5003819426692916         -0.008336798507357912      -0.22447235526153186       -0.17572360060178482       
Zeropoint     AB|PS|PS_i                        7299.682301033313    All      0.3286691915436356         -0.060518663319264476      0.0886260285878987         -0.12281631561770617       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6177.383867844198    All      0.6873977957088728         -0.06111699807060944       -0.14421469781509821       -0.2502515333485833        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7982.312024782957    All      0.2574581529301922         -0.05038442389473374       0.1466758254045325         -0.09372898656172801       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4199.301582629298    All      -0.605483884202251         0.38379750370243215        -0.1497287179600043        0.31555978942806595        
Zeropoint     AB|PS|PS_z                        8389.116136190887    All      0.16102415103861958        -0.03817084484536437       0.027834002653029377       -0.06364225977867066       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5183.243813850016    All      0.07900317731415435        0.343843619788764          0.22348977138160475        0.09624056715110407        
Zeropoint     AB|PS|PS_g                        4745.714932648844    All      -0.4125314667726718        0.48743860527027394        0.027712096627038885       0.29438652419571665        
Check         All|All|All                       All                  All      0.9959190602298436         0.9965520001241401         -0.004078046382530176      2.41848664136457e-05       
Lambda        AB|PS|PS_r                        6026.735797254996    All      6.200002666093525e-05      -2.726717939684403e-05     -0.00012012768972561668    -3.4438012882797644e-05    
Lambda        AB|PS|PS_i                        7299.682301033313    All      -6.823674709843389e-05     -2.1956848896105002e-05    -0.00035747757338804617    -8.77696857274738e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6177.383867844198    All      -0.00017115036534378112    -5.292881196850671e-06     -0.0002991501348491901     4.067554256436202e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7982.312024782957    All      -9.454318260783458e-06     4.0061179383028015e-07     -2.9123436582981788e-05    1.9104297207639193e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4199.301582629298    All      -0.00045613244663542416    0.00023082825283834865     -0.00036274071708680553    0.00020757824795859299     
Lambda        AB|PS|PS_z                        8389.116136190887    All      7.782628721734108e-05      -3.208727617898616e-05     -0.00010841546262245313    -4.064054780964278e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5183.243813850016    All      -0.00020375558531905659    0.00014346590125792157     -0.0008501325643772168     7.516394959521154e-05      
Lambda        AB|PS|PS_g                        4745.714932648844    All      3.6271221530116265e-05     -2.3485568152348603e-05    -7.547199000838221e-05     -2.2832720623326786e-05    
MWEBV         All|All|All                       All                  All      -0.7627920425175865        -3.981302425242461         0.02604696995260336        -1.0472123608603805        
Redshift      All|All|All                       All                  All      4.6786222426581805         -0.026992099803901937      1.690078978741613          -1.457352938884196         
