#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4691.637115937254    All      -0.4067847572319815        0.3765164401611454         0.011092568002399179       0.25564198019851975        
Zeropoint     AB|CNIa02|SDSS_i                      7451.746708199077    All      0.2036374866022315         -0.03554502093630063       0.06076873414274592        -0.07519778207197914       
Zeropoint     AB|CNIa02|SDSS_r                      6144.884694215887    All      0.5803418015813612         -0.05054777640562946       0.051893100192104843       -0.20318574047578902       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5460.65521274283     All      0.36973126357028024        0.09962953145552511        -0.029938437272925233      -0.08931703518604102       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4357.423106683389    All      -0.4365842938670831        0.2752084297299895         -0.09151525994794527       0.22777040162351925        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6184.607966397534    All      0.5797341290519032         -0.06589117155817448       -0.005787166709471381      -0.2105596555209366        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4356.236763133429    All      -0.44492132004601836       0.2969454156406037         -0.048100501022945996      0.2395038980607422         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7504.876132346838    All      0.19846637913951268        -0.039525232640613694      0.043226042813116074       -0.07559271788753404       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5449.881376468254    All      0.3532104415843449         0.13987760343048272        0.008887558697282753       -0.06909291290304054       
Check         All|All|All                           All                  All      0.9968311303845507         0.9966682188770282         0.0005266388943608834      -2.9564162539144623e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4691.637115937254    All      -0.00013786504673199884    -1.8397475994299403e-05    -0.000657190747345699      9.58711346949142e-06       
Lambda        AB|CNIa02|SDSS_i                      7451.746708199077    All      -3.06822116327191e-05      3.0114644664455527e-07     -4.7871030902972025e-05    7.956034803145437e-06      
Lambda        AB|CNIa02|SDSS_r                      6144.884694215887    All      -5.8849304619102476e-05    -1.4611002598916495e-05    -0.0002292285218494689     4.180454243260175e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5460.65521274283     All      3.480426635227959e-05      -1.819762715333595e-05     -0.0006825393821758909     -4.772305826179563e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4357.423106683389    All      -0.00022535524708443828    8.978105071961406e-05      -0.0002941033439247459     8.95257783994665e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6184.607966397534    All      -0.00010774657203021726    -3.363889012111969e-06     -0.00019362626018772726    2.536022324833441e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4356.236763133429    All      -0.00010804405965282911    3.492776166739751e-05      -0.00014852220177633904    3.994276210972905e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7504.876132346838    All      -1.7468315045986118e-05    -4.6046930912437004e-06    -9.050253939032556e-05     1.5139220139016778e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5449.881376468254    All      2.8692941716195647e-05     -2.019012023293344e-05     -0.000297815606593708      -2.9212964186471364e-05    
MWEBV         All|All|All                           All                  All      -0.9008979391811507        -4.080014612898442         0.015804203732990938       -1.0348376214351374        
Redshift      All|All|All                           All                  All      5.450366641230591          0.16140044907002604        3.2326789063060293         -1.5785306781748012        
