#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4691.637115937254    All      -0.4101000592563143        0.38645356656701324       -0.08755815216039409       0.2555564035756852         
Zeropoint     AB|CNIa02|SDSS_i                      7451.746708199077    All      0.20837129071966629        -0.03918673250238314      0.09556777921853055        -0.07637304152088298       
Zeropoint     AB|CNIa02|SDSS_r                      6144.884694215887    All      0.5482663336800587         -0.05479923155444766      0.1529393281705982         -0.18961331507333368       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5460.65521274283     All      0.32944713186582797        0.07211210213426966       -0.29581595840828534       -0.09702339284478612       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4357.423106683389    All      -0.42641579673387014       0.2949910729548755        -0.06307878532783029       0.23217103455988042        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6184.607966397534    All      0.6583369915063251         -0.08956344490016477      0.09830883085997222        -0.23922870572595234       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4356.236763133429    All      -0.4209893634708022        0.30597439184010256       -0.05162204475577248       0.23449235673594915        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7504.876132346838    All      0.21055749676621524        -0.045065825682488736     0.08112030781854962        -0.0796448991132126        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5449.881376468254    All      0.347684126823113          0.13643524280464447       0.00432970567958435        -0.06861749652780635       
Check         All|All|All                           All                  All      1.0451581519002195         0.9673511416614211        -0.06580898890504727       -0.028281055934459287      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4691.637115937254    All      -0.00022670266081751346    0.00014003093294907536    -0.0001950257912811219     0.00011075409132282577     
Lambda        AB|CNIa02|SDSS_i                      7451.746708199077    All      6.756333027608775e-06      -6.573856567719879e-06    -1.3200703337938416e-05    -4.931168062744697e-06     
Lambda        AB|CNIa02|SDSS_r                      6144.884694215887    All      0.00022717745947479758     -2.631284876339407e-05    3.5070581267950386e-05     -8.100509400797475e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5460.65521274283     All      0.00011590868513285536     -6.38971071952737e-06     -0.0006263486326717026     -6.77876737877544e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4357.423106683389    All      -0.0003193901676023454     0.00015406231589106182    -0.00041294509666901514    0.00013579120692174337     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6184.607966397534    All      0.00011568925753094633     -1.472853132557858e-05    8.812392077129054e-05      -3.854879860288538e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4356.236763133429    All      -0.0001766036120892259     0.00010995641825620849    -0.00011212714139038123    8.833831008956097e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7504.876132346838    All      1.3524350521036146e-05     -8.899538074543852e-06    -4.6103245905599935e-05    -9.361574359819932e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5449.881376468254    All      8.634150846170146e-05      3.4234592007754936e-05    -0.00015868463726416838    -2.4054303504605085e-05    
MWEBV         All|All|All                           All                  All      -0.8917185939311221        -4.085752706360601        0.02080899515841672        -1.0394733811377121        
Redshift      All|All|All                           All                  All      4.3272962526252865         -1.3837807051620743       2.373803482826675          -1.7543537070488946        
