#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6138.4989432773855    All      0.48247980277915603        -0.048083788136565886      -0.16195539498151146       -0.18004934202872605       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.8684639079265    All      -0.6763727060359095        0.46847121061750485        -0.23296919333365806       0.362516982790457          
Zeropoint     AB|PS|PS_z                            8544.688579262795     All      0.1484736909671048         -0.03773025734679081       0.03728627190363537        -0.05898883682837054       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.889036431842     All      0.2106091209242829         0.2957649988317712         -0.033878574977194785      0.0262262257770725         
Zeropoint     AB|CNIa02|SDSS_r                      6102.047330856893     All      0.7236739937646834         -0.03301461480056389       0.2074250679900949         -0.23722194600996885       
Zeropoint     AB|PS|PS_g                            4833.722114121748     All      -0.3855425629766358        0.4745810308406817         0.18215535711734662        0.28829930871087756        
Zeropoint     AB|CNIa02|SDSS_i                      7399.798917917708     All      0.29032218278029587        -0.050104988505772496      0.18582728667311496        -0.10259571107877903       
Zeropoint     AB|PS|PS_i                            7435.051676159899     All      0.20324358791849606        -0.07297616665873363       -0.1836346242866912        -0.09816863130439948       
Check         All|All|All                           All                   All      0.996887110121474          0.996907424841531          0.0002561961051363859      1.8050028163116294e-05     
Lambda        AB|PS|PS_r                            6138.4989432773855    All      -8.792083192731673e-05     -6.5588388090069426e-06    -0.00014131897831516212    2.019586094108553e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.8684639079265    All      -0.00026020377970545594    6.567761267854975e-05      -0.0007052543943955638     7.467802617322913e-05      
Lambda        AB|PS|PS_z                            8544.688579262795     All      9.729659111620118e-05      -2.2364141328207083e-05    5.4572551423892494e-05     -3.654211495092345e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.889036431842     All      2.5311920336749656e-06     -2.8717335733547743e-06    -0.0003686862478428658     -1.821268454772064e-05     
Lambda        AB|CNIa02|SDSS_r                      6102.047330856893     All      -5.987477906507009e-05     -1.8583607885558352e-05    -0.00020942075613474223    4.104406380798715e-06      
Lambda        AB|PS|PS_g                            4833.722114121748     All      -4.445739877995456e-05     -4.322140601481225e-05     -0.0004617111256475096     -2.0201443468588442e-05    
Lambda        AB|CNIa02|SDSS_i                      7399.798917917708     All      -4.605650900465107e-05     5.5975623766904025e-06     -4.7035768589204196e-05    1.4726440092710261e-05     
Lambda        AB|PS|PS_i                            7435.051676159899     All      -1.0581157835699967e-05    -3.670727824899708e-05     -0.00033095388567248445    -2.3279088843787455e-05    
MWEBV         All|All|All                           All                   All      -0.8169461753220437        -4.07152995345248          -0.001323552009461297      -1.0601840732103363        
Redshift      All|All|All                           All                   All      4.653367014200816          0.3481605928938869         2.268976467200346          -1.3010933698047171        
