#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6138.4989432773855    All      0.3990169853976703         -0.044443553838213745      -0.19725925116627074       -0.15325246144809873       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.8684639079265    All      -0.7239753945172046        0.5051787994181822         -0.25641685639472556       0.388933252315736          
Zeropoint     AB|PS|PS_z                            8544.688579262795     All      0.1665358435076193         -0.04423230521677368       0.02248775715250062        -0.06765059478648222       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.889036431842     All      0.23256160515313684        0.3327501740007399         0.027568265687238913       0.03386495806083217        
Zeropoint     AB|CNIa02|SDSS_r                      6102.047330856893     All      0.7514847064041996         -0.031578431291645614      0.1794532529491466         -0.24706125147941765       
Zeropoint     AB|PS|PS_g                            4833.722114121748     All      -0.3249396980128273        0.38997140590346646        0.1280075699825911         0.23858245635306474        
Zeropoint     AB|CNIa02|SDSS_i                      7399.798917917708     All      0.3083921568795246         -0.05415914528885679       0.17557940618195822        -0.11025958420894238       
Zeropoint     AB|PS|PS_i                            7435.051676159899     All      0.1878927342550514         -0.056455323002069235      -0.08394025246045711       -0.08333806900462648       
Check         All|All|All                           All                   All      0.9969689390671702         0.9970316206848295         -0.004520108068017947      -0.00018129419793455614    
Lambda        AB|PS|PS_r                            6138.4989432773855    All      -9.53633165586477e-05      2.315119750320395e-05      -1.159201158842321e-05     3.808677800463768e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.8684639079265    All      -0.0002492461422658132     -1.0000987172677908e-05    -0.001161028825773869      2.6118633863881176e-05     
Lambda        AB|PS|PS_z                            8544.688579262795     All      8.741680106710407e-05      -2.0277640415296517e-05    4.1699507676158404e-05     -3.32187651240283e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.889036431842     All      8.631406437503247e-06      -2.7453897265674825e-05    -0.0004846313661293217     -3.3381042626350215e-05    
Lambda        AB|CNIa02|SDSS_r                      6102.047330856893     All      3.238628004875034e-05      -3.2151164544087114e-05    -7.139553388550849e-05     -2.420802369223196e-05     
Lambda        AB|PS|PS_g                            4833.722114121748     All      -2.7799966009736046e-05    -3.6069476619855524e-05    -0.0002761789718834975     -1.5018250735556562e-05    
Lambda        AB|CNIa02|SDSS_i                      7399.798917917708     All      -1.556225706787913e-05     7.322231234462282e-06      4.2327658405149516e-05     9.343119708093453e-06      
Lambda        AB|PS|PS_i                            7435.051676159899     All      -4.407813229861402e-06     -2.0273660340883354e-05    -0.00018027619324183198    -1.3212926900701283e-05    
MWEBV         All|All|All                           All                   All      -0.8219512900897903        -4.064671221673333         0.025654779001804684       -1.055115709075015         
Redshift      All|All|All                           All                   All      4.493921796065848          0.46015636452114705        2.3821807143867613         -1.2076243236722197        
