#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     VEGAHST|NICMOS2|F110W_faint         6669.510095930437    All      1.728885458332912         0.11655764144524738       0.9496557678849777         -0.48280943866039827       
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    3780.308964374566    All      -1.108959356629244        0.34285721220399523       0.26942977132791424        0.4849278330635712         
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    4593.824935082845    All      0.3819234615444869        0.5399830524940086        -1.218179080811188         -0.0028765287041078447     
Check         All|All|All                         All                  All      1.0018495632481548        0.9993979061432512        0.0009064584017037802      -0.0007581343009349373     
Lambda        VEGAHST|NICMOS2|F110W_faint         6669.510095930437    All      -0.0002039082213532527    -9.573764904004412e-06    -0.00012360997278772125    5.778498051378843e-05      
Lambda        Linear_AB11_off|Knop|Bessell12_R    3780.308964374566    All      -0.0010883841410584973    0.0002633708590529477     0.0008895673065807031      0.000480008378212704       
Lambda        Linear_AB11_off|Knop|Bessell12_I    4593.824935082845    All      -0.0005207198088975837    -0.0002456129785189758    -0.004966104918989262      -0.00013200310863938802    
MWEBV         All|All|All                         All                  All      -0.1546242261028723       -1.8750692078141284       -0.02399886408442492       -0.5614764905833298        
Redshift      All|All|All                         All                  All      6.548257762332171         0.7904737193715761        3.274923381830729          -1.7293548989087248        
