#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F110W_faint         6669.510095930437    All      1.515084472625923          0.12571209580958254        0.8609442573556152         -0.4141443040907561       
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    3780.308964374566    All      -1.025123752411988         0.3294452730518316         0.7411395005132831         0.47430134756812364       
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    4593.824935082845    All      0.5107383159778854         0.5438363263444046         -1.6040202703585227        -0.060798946798892015     
Check         All|All|All                         All                  All      1.0006990361918202         0.9989936952058187         -0.0019365124896244534     -0.0006419033215244591    
Lambda        VEGAHST|NICMOS2|F110W_faint         6669.510095930437    All      -0.00018995026625509242    -1.5075466072401837e-05    -0.00010788416848765209    5.214810068400074e-05     
Lambda        Linear_AB11_off|Knop|Bessell12_R    3780.308964374566    All      -0.0009645891899366148     0.000247189401263073       0.0008137607144878879      0.00043103055670505814    
Lambda        Linear_AB11_off|Knop|Bessell12_I    4593.824935082845    All      -0.0005870564263798574     -0.00022768384014572077    -0.004031731609674643      -6.285819032289561e-05    
MWEBV         All|All|All                         All                  All      -0.16181230289938453       -1.8729858710921476        -0.008608973464982624      -0.5577697060447772       
Redshift      All|All|All                         All                  All      6.519540486652967          0.8572458933048921         2.4200527221954093         -1.736399794920946        
