#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4379.308093527251     All      -0.49130057568364105       0.404792778066021          0.1836500353844972        0.3000825435170483         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7840.99023229613      All      0.2152860307885407         -0.05745566994557194       -0.009250247547498702     -0.08925374092772638       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6382.267053246434     All      0.7138295534101531         -0.06955417607841241       0.4643887605315644        -0.2344503157315118        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5379.471660051113     All      0.23821176995590224        0.23569596117427594        0.12374734041569191       0.004702793763949029       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6535.857733029551     All      0.5159736603080094         -0.09651036874762653       -0.2857152399763141       -0.21225635730696774       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5376.8091159684245    All      0.14500220352663257        0.19779517065243724        -0.48142774097477137      -0.004287502732162548      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4364.428149790867     All      -0.5896602876695398        0.4320757629767691         -0.1985201095732414       0.32395400509276057        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7891.593353996323     All      0.2474162838978025         -0.04896520559372064       0.20567621700937622       -0.08736281686033831       
Check         All|All|All                                      All                   All      0.9947586385338595         0.9978742525041717         0.002549015269304178      0.001128608815051113       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4379.308093527251     All      -0.00031471292286097447    0.00023905954854010875     -2.770376694019446e-05    0.0001791456206287546      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7840.99023229613      All      3.8111726898459015e-05     -7.1504799234591305e-06    3.719281492577032e-05     -1.3083645334556226e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6382.267053246434     All      1.2688344122095519e-05     -3.104028370551316e-06     -2.175600768785009e-05    -6.114965975857426e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5379.471660051113     All      0.00015295466997244898     0.00011910049303004728     2.917983034895444e-05     -9.725257389118868e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6535.857733029551     All      -5.204321839908014e-05     -1.2619069140427398e-05    -0.0003459749694626541    -2.597531452029602e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5376.8091159684245    All      2.288441327848276e-05      8.069385150966253e-05      -0.0008779269312701232    -2.0347410864113067e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4364.428149790867     All      -0.0003957129155942205     0.00024149869363182777     -0.0003667765507084138    0.0001911932318498357      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7891.593353996323     All      4.042124043141512e-05      -5.892229539836335e-06     6.007935495010219e-05     -1.2404755160614805e-05    
MWEBV         All|All|All                                      All                   All      -0.8198829177158062        -4.0888030108900075        0.034569016828056576      -1.0632521621722337        
Redshift      All|All|All                                      All                   All      3.0111241156606052         0.29391079906337936        -0.8364952828559868       -0.9224147134685656        
