#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          6639.711285344957    All      0.9028591506462762         -0.054851233732300386      0.10410109255147848       -0.30731222628632704       
Zeropoint     AB|DECam|DECam_g          4112.143944667231    All      -0.8503321068170085        0.6732873664137884         -0.0676020789722398       0.49327621772364827        
Zeropoint     AB|DECam|DECam_r          5465.344790140152    All      0.6096495172312574         0.41380040454779277        -0.1793989829511844       -0.07180025190481332       
Zeropoint     AB|DECam|DECam_z          7780.765094762325    All      0.3354658958646827         -0.033800480090206975      0.14382600562725667       -0.11386391308923632       
Check         All|All|All               All                  All      0.9976424569252076         0.9984360571390738         0.000926036255310958      0.00029982644327158914     
Lambda        AB|DECam|DECam_i          6639.711285344957    All      -0.0004172551753543782     -1.4987460414890699e-05    -0.000455547341791645     0.0001107028433596196      
Lambda        AB|DECam|DECam_g          4112.143944667231    All      -0.0006852102280443275     0.0003778652596898001      -0.000827321974858844     0.0003093590805141583      
Lambda        AB|DECam|DECam_r          5465.344790140152    All      1.9941536814135398e-05     -2.684687433335292e-06     -0.0008259622282467617    -4.4229006357419236e-05    
Lambda        AB|DECam|DECam_z          7780.765094762325    All      -0.00012111863620248145    3.260009854311409e-05      0.00011601656401601297    5.52485355100291e-05       
MWEBV         All|All|All               All                  All      -0.5194143448835562        -3.337755567599743         0.06232232268849058       -0.9152452978852976        
Redshift      All|All|All               All                  All      6.905300538965995          -0.21646026783130878       1.9715842306846754        -2.2318090446884375        
