#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7822.461626557667    All      0.377704032210376          -0.07378183942128302      0.21109887079151513        -0.1376434287730363        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4326.195001712583    All      -1.079780335757984         0.7155551293200446        -0.12294589862347216       0.5793133149728381         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6326.357286159626    All      1.146441962568652          -0.08599119311991643      0.4724452964679049         -0.38036096093565647       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8096.675079078105    All      0.06099610958353818        -0.025797087727141843     -0.09121047537332672       -0.032341704376816216      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5332.346554652936    All      0.48205103762344725        0.4405714504843061        0.458860249772175          0.006965559309331237       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6269.412245281869    All      0.08294096545343921        -0.03506667335972935      -0.4542360094031972        -0.058709437166581946      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5299.440876303795    All      -0.02126149543349458       0.03551852662706523       -0.38969948787932474       0.0011046228733199714      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4351.745737918109    All      -0.051049451776069614      0.0274038327464865        -0.08089426630357721       0.02194487623419089        
Check         All|All|All                       All                  All      0.9980428244719043         0.9984121455498318        0.0034182794486969925      0.0002728421375892687      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7822.461626557667    All      -1.9486097159759374e-05    7.4022638513798025e-06    3.713808364128824e-05      1.0415725885992074e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4326.195001712583    All      -0.000541269153171509      0.0001826383605268551     -0.000688832349992301      0.0002050610689737521      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6326.357286159626    All      -0.0002927238504291068     1.733120905079468e-05     -0.00037151113120132106    8.441629788446922e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8096.675079078105    All      5.375768607707403e-06      -2.329788924374158e-06    -9.131050399372932e-06     -2.9174304354383237e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5332.346554652936    All      1.603164318028862e-05      6.898450903713718e-05     -0.000822404428625827      -1.945164197553412e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6269.412245281869    All      -1.4207195678920444e-05    6.831414906896693e-06     5.77923686832708e-05       9.431975601115714e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5299.440876303795    All      -2.7782396474150385e-05    4.0439103160582226e-05    -0.0003937507451127188     4.650699529084733e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4351.745737918109    All      -5.1219199657788985e-05    2.604148797377016e-05     -7.893751301912049e-05     2.1643729103563398e-05     
MWEBV         All|All|All                       All                  All      -0.8241470667477429        -4.035320111337803        0.02576863418362052        -1.0448347692856366        
Redshift      All|All|All                       All                  All      4.966053173956008          -0.37794525013143954      1.959247375078066          -1.653283887199268         
