#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7822.461626557667    All      0.3295468532234279         -0.06801648949394945      0.17737207936001878       -0.12158415890718399      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4326.195001712583    All      -1.015925990752655         0.7016244107694192        -0.0996457184067896       0.5550159407492977        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6326.357286159626    All      1.0490495248752685         -0.08960061481255721      0.38917355852388025       -0.35352878246581565      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8096.675079078105    All      0.10506243986000835        -0.04011625195206037      -0.08680482014291695      -0.05116317660314278      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5332.346554652936    All      0.4297762555115907         0.4523838496274024        0.5664210043266379        0.032640805116795166      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6269.412245281869    All      0.1737396389718746         -0.05513894392565888      -0.47808542839687884      -0.09588804123384558      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5299.440876303795    All      -0.010347222072762289      0.059374436297687794      -0.39032260160112797      0.005292332883093011      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4351.745737918109    All      -0.06346340202475312       0.03723577048981852       -0.07592568698057639      0.029412818696492732      
Check         All|All|All                       All                  All      0.9974380975919995         0.997746167000102         0.0021823866822470728     0.0001977382356906296     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7822.461626557667    All      -2.2222620352091946e-06    7.254023872058702e-06     8.095653485590347e-05     6.699456411246473e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4326.195001712583    All      -0.000528669043232277      0.00022277925283333835    -0.0004831747685459815    0.00022320956116443516    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6326.357286159626    All      -0.0003219649954119816     5.198576343647462e-07     -0.0006310589537147201    7.688266331838102e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8096.675079078105    All      9.28830633218477e-06       -3.534352207163918e-06    -7.506171998726857e-06    -4.511727720903671e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5332.346554652936    All      2.790193928394104e-06      9.459403707672922e-05     -0.0007653363809632498    -4.249915649390921e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6269.412245281869    All      -1.2938096315100586e-05    4.119031310839706e-06     3.438895610162965e-05     7.0906887986526244e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5299.440876303795    All      -9.446605151966e-06        7.077506716518005e-05     -0.0004787330472029489    4.767180733010436e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4351.745737918109    All      -6.4409702507434e-05       3.803825808082463e-05     -7.716835257034438e-05    2.992700204759657e-05     
MWEBV         All|All|All                       All                  All      -0.8174998143578853        -4.041149082500617        0.009566218695452537      -1.049621725140539        
Redshift      All|All|All                       All                  All      4.724340414736444          -0.7594805810972716       0.7568673367259346        -1.752485397622887        
