#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4084.8752275747784    All      -0.7783605869390606       0.5165370772472144        -0.8921284836208521       0.3819791732671721        
Zeropoint     AB|PS|PS_i                4947.668589394346     All      1.0158847146571617        0.29977211475191723       1.3354445574931373        -0.17366667606797548      
Zeropoint     AB|PS|PS_g                3216.609126011227     All      -0.40513354845404204      0.08711039953972488       0.22122698483050263       0.1702123924806338        
Zeropoint     AB|PS|PS_z                5686.078474118992     All      1.1561040541733136        0.09629606419601089       -0.6386713432295354       -0.373715297719788        
Check         All|All|All               All                   All      0.9884946334373726        0.9997156557348674        0.0258717154732524        0.004809591960042436      
Lambda        AB|PS|PS_r                4084.8752275747784    All      -0.0006523054983159334    0.0001734702147815135     -0.001778332178888812     0.00018962351941031913    
Lambda        AB|PS|PS_i                4947.668589394346     All      -5.254028704284171e-05    -8.819286477546341e-05    -0.0010046813280016218    -5.644753083675698e-05    
Lambda        AB|PS|PS_g                3216.609126011227     All      -0.0011057863364986266    0.00020294001880498543    0.0002902474510159582     0.000439247640421107      
Lambda        AB|PS|PS_z                5686.078474118992     All      0.00027502771841325327    8.518448831995973e-05     0.001399446731030719      6.126944814055169e-07     
MWEBV         All|All|All               All                   All      -0.4009167038423873       -2.2768011503032426       0.1384001662686818        -0.6048611152058782       
Redshift      All|All|All               All                   All      6.286921291880439         0.6581910109328959        8.13957334311729          -1.4702308576353338       
